canonical_model_id,missing_reason_category,why_no_alpha_beta_ir,may_be_compared_on_performance
v5c_continuation_decision,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_core_infra_cashflow_field_repair,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_cross_sector_pre2021_factor_screen,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_cycle_sector_data_gate_queue,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_defense_overlay_pm_quant_review,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_erc_formal_validation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_erc_forward_paper_tracking,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_erc_pm_quant_review,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_final_archive,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_financial_statement_expectation_layer,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_fixed_rule_risk_budget_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_forward_financial_statement_tracking,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_highway_capex_fcf_small_original_page_review,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_highway_ocf_risk_cap_rule_freeze,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_highway_ocf_risk_cap_v1_limited_engineering,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_industry_knowledge_base_bank_power_p0,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_infra_capex_original_statement_extraction,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_infra_ocf_quality_fixed_rule_quant_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_key_metric_confidence_tilt_overlay,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_key_weight_metric_prediction,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_low_capital_version_handoff,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_overheat_no_new_overweight_limited_engineering,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_overheat_overlay_pm_quant_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_overlay_engineering_comparison,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_overlay_hypothesis_admission,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_overlay_quant_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_p1_financial_quality_pit_panel,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_p2_valuation_and_crowding_state_panel,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_p3_state_governance_quant_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_p4_state_forward_observation_packet,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_power_specialist_combo_deep_dive,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_profit_taking_overheat_overlay,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_sidecar_observation_enhancement,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_sleeve_level_risk_attribution,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5d_baostock_5min_data_gate,execution_only,execution_only_no_strategy_nav_claim,False
v5d_free_minute_source_audit,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5d_l2_conservative_slippage_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5d_l2_execution_cost_broker_paper_review,execution_only,execution_only_no_strategy_nav_claim,False
v5d_l2_liquidity_instant_fill_review,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5d_l2_order_scheduling_pm_quant_review,execution_only,execution_only_no_strategy_nav_claim,False
v5d_l3_1_unfilled_remediation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5d_l3_intraday_execution_policy_spec,execution_only,execution_only_no_strategy_nav_claim,False
v5d_l3_pm_quant_review,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5d_minute_execution_audit,execution_only,execution_only_no_strategy_nav_claim,False
v5d_order_scheduling_policy_spec,execution_only,execution_only_no_strategy_nav_claim,False
v5d_yixin_api_capability_probe,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_511360_cash_proxy_forward_stress_packet,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_511360_cash_proxy_limited_engineering,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_511360_cash_proxy_limited_engineering_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_511360_cash_proxy_pm_quant_review,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_511360_forward_paper_tracking,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_511360_pit_data_audit,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_capital_sensitivity_test,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_cash_drag_robustness_packet,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_cash_policy_review,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_cash_proxy_asset_data_gate,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_daily_momentum_diagnostic_addendum,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_formal_validation_forward_packet,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_forward_paper_continuation_v5f_prep,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_forward_paper_daily_packet,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_full_holding_5min_data_gate,execution_only,execution_only_no_strategy_nav_claim,False
v5e_full_holding_5min_momentum_research,execution_only,execution_only_no_strategy_nav_claim,False
v5e_full_holding_rolling_intraday_research,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_full_intraday_nav_engineering_test,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_holding_period_exit_pm_review,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_limited_engineering_loop,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_long_horizon_momentum_diagnostic,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_pm_quant_formal_review,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_post_exit_5min_monitoring_audit_packet,execution_only,execution_only_no_strategy_nav_claim,False
v5e_post_exit_5min_monitoring_data_gate,execution_only,execution_only_no_strategy_nav_claim,False
v5e_profit_lock_execution_robust_formal_review,execution_only,execution_only_no_strategy_nav_claim,False
v5e_profit_lock_main_forward_paper_execution_tracking,execution_only,execution_only_no_strategy_nav_claim,False
v5e_profit_lock_model_comparison,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_quant_spec_single_name_exit,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_reasonable_momentum_range_test,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_short_financing_etf_cash_proxy_selection_gate,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_sleeve_cash_bucket_engineering,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_sleeve_cash_policy_quant_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_sleeve_level_risk_release_limited_engineering,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_sleeve_level_risk_release_pm_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_sleeve_level_risk_release_quant_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5e_trigger_day_5min_execution_data_gate,execution_only,execution_only_no_strategy_nav_claim,False
v5e_trigger_day_5min_execution_proxy_test,execution_only,execution_only_no_strategy_nav_claim,False
v5f_1min_forward_observation_append,execution_only,execution_only_no_strategy_nav_claim,False
v5f_1min_intraday_relative_zone_timing_test,execution_only,execution_only_no_strategy_nav_claim,False
v5f_1min_microstructure_signal_quality_gate,execution_only,execution_only_no_strategy_nav_claim,False
v5f_1min_queue_123_execution,execution_only,execution_only_no_strategy_nav_claim,False
v5f_1min_vwap_execution_precision_audit,execution_only,execution_only_no_strategy_nav_claim,False
v5f_adaptive_momentum_governance,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_backtest_scope_governance_correction,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_clean_forward_target_population,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_deployment_governance_paper_workflow,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_event_triggered_mean_reversion_borrowing_test,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_extreme_value_reversion,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_forward_paper_tracking_with_v5c_state_tags,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_forward_paper_v5c_state_tags,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_improvement_queue_execution,execution_only,execution_only_no_strategy_nav_claim,False
v5f_internal_subsleeve_candidate_replacement_packet,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_internal_subsleeve_deep_engineering,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_internal_subsleeve_deep_research_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_internal_subsleeve_deployment_governance,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_internal_subsleeve_forward_paper_tracking,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_internal_subsleeve_pm_quant_review,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_internal_subsleeve_queue_123_execution,execution_only,execution_only_no_strategy_nav_claim,False
v5f_internal_subsleeve_robustness_packet,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_joinquant_export_checklist,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_joinquant_now_execution,execution_only,execution_only_no_strategy_nav_claim,False
v5f_joinquant_platform_attribution,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_joinquant_platform_forward_handoff,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_local_1min_data_package_audit,execution_only,execution_only_no_strategy_nav_claim,False
v5f_locked_pool_conditional_momentum,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_locked_pool_daily_momentum_governance,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_mean_reversion_diagnostic,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_model_comparison_progress,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_momentum_weight_tilt_backtest_scope,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_momentum_weight_tilt_forward_paper_tracking,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_momentum_weight_tilt_limited_engineering,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_momentum_weight_tilt_pm_quant_review,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_momentum_weight_tilt_quant_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_needed_model_full_comparison,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_overlay_deployment_governance_review,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_paper_workflow_artifacts,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_physics_curve_diagnostic_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_physics_curve_full_5min_diagnostic,execution_only,execution_only_no_strategy_nav_claim,False
v5f_pre2021_5min_blocker_completion,execution_only,execution_only_no_strategy_nav_claim,False
v5f_pre2021_factor_panel_repair,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_pre2021_multisleeve_mainline_validation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_pre2021_repaired_multisleeve_data_gate,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_prebacktest_5min_to_backtest,execution_only,execution_only_no_strategy_nav_claim,False
v5f_prejq_v5c_v5g_integration,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_progress_checkpoint,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_quality_value_mean_reversion,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_repaired_baseline_overlay_comparison,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_repaired_overlay_forward_paper_tracking,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_short_window_reversion_diagnostic,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_short_window_reversion_nav_engineering,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_short_window_reversion_walk_forward_robustness,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_short_window_spike_reversion_symmetry,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_spike_funded_mr_borrowing_forward_observation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_spike_funded_mr_borrowing_independent_validation_gate,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_spike_mr_prebacktest_to_backtest_jq_sim,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_spike_mr_signal_quality_filter_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_spike_mr_sleeve_threshold_effectiveness_audit,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_structural_rough_screen,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_v57f_qv_mr_combination,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5f_value_momentum_reversion_balance_test,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5g_01_state_gated_internal_subsleeve_limited_engineering,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5g_01_state_gated_internal_subsleeve_quant_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5g_02_quality_guarded_momentum_factor_validation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5g_03_erc_state_budget_conflict_review,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5g_04_cash_proxy_policy_data_gate,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5g_04_exit_policy_spec,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5g_05_short_window_reversion_independent_validation_gate,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5g_cross_line_model_research_startup,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5g_next_queue_execution,execution_only,execution_only_no_strategy_nav_claim,False
v5g_vs_midterm_model_comparison,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5h_1min_research_line_governance,execution_only,execution_only_no_strategy_nav_claim,False
v5h_1min_volume_amount_timing_test,execution_only,execution_only_no_strategy_nav_claim,False
v5h_buy_execution_backtest,execution_only,no_comparable_daily_performance_or_benchmark,False
v5h_buy_execution_queue_123,execution_only,execution_only_no_strategy_nav_claim,False
v5h_buy_execution_spec_v1,execution_only,execution_only_no_strategy_nav_claim,False
v5h_buy_execution_spec_v1_forward_observation,execution_only,execution_only_no_strategy_nav_claim,False
v5h_buy_execution_spec_v1_jq_broker_paper_mapping,execution_only,execution_only_no_strategy_nav_claim,False
v5h_buy_execution_timing_overlay,execution_only,execution_only_no_strategy_nav_claim,False
v5h_combined_buy_execution_overlay_v1_observation,execution_only,execution_only_no_strategy_nav_claim,False
v5h_market_cap_pit_segmentation_gate,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5h_market_cap_pit_source_repair,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5h_pre2021_total_market_cap_source_repair,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5h_quiet_or_active_independent_validation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5h_segmented_1min_execution_diagnostic,execution_only,no_comparable_daily_performance_or_benchmark,False
v5h_size_liquidity_interaction_independent_validation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5i_sell_execution_evaluation,execution_only,execution_only_no_strategy_nav_claim,False
v5i_sell_execution_provenance,execution_only,execution_only_no_strategy_nav_claim,False
v5i_technical_exploration_hour_packet,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5i_technical_sell_execution_quant_spec,execution_only,execution_only_no_strategy_nav_claim,False
v5j_1min_technical_pattern_diagnostic,execution_only,execution_only_no_strategy_nav_claim,False
v5j_5day_1min_family_execution_validation,execution_only,execution_only_no_strategy_nav_claim,False
v5j_5day_1min_sell_formal_backtest,execution_only,no_comparable_daily_performance_or_benchmark,False
v5j_bank_2011_2012_regulatory_pdf_repair,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_cross_period_technical_validation_gate,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_family_sell_execution_formal_backtest,execution_only,no_comparable_daily_performance_or_benchmark,False
v5j_family_specific_sell_timing_diagnostic,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_frozen_buy_timing_full_pit_validation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_frozen_sell_timing_full_pit_validation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_frozen_v5f_exact_target_validation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_infra_cashflow_parser_failure_diagnostic,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_local_adjust_factor_corporate_action,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_material_action_original_notice_extract,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_material_action_unclassified_notice_fallback,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_material_corporate_action_notice_repair,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_missing_1min_source_repair,execution_only,execution_only_no_strategy_nav_claim,False
v5j_momentum_cash_neutral_engineering,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_momentum_daily_price_volume_sell,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_momentum_overlay_cash_neutral_execution_spec,execution_only,execution_only_no_strategy_nav_claim,False
v5j_momentum_overlay_partial_buy_skip,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_overlay_only_sell_formal_backtest,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_overlay_only_sell_validation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_pit_disclosure_trust_audit,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_pit_dividend_corporate_action_ledger,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_pit_pool_1min_pairing,execution_only,execution_only_no_strategy_nav_claim,False
v5j_pre2019_pit_rebuild_data_gate,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_pre2021_infra_original_cashflow_panel,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_pre2021_pit_repair_continuation_queue,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_pre2021_target_reconstruction_readiness,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_repaired_multisleeve_pit_pool,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_statement_visible_date_factor_panel,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_technical_existing_model_validation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_v4_bank_indicator_pit_reuse_gate,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5j_v5e_profit_lock_sell_timing_proxy,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5k_active_model_registry,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5k_experiment_catalog,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5k_historical_platform_contract_archive,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5k_reproducibility_provenance,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5k_strategy_development_workflow_audit,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5k_workflow_activation_repair,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5l_cash_constrained_nav_validation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5l_primary_candidate_risk_observation,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5l_qmt_execution_evidence_and_forward_readiness,execution_only,execution_only_no_strategy_nav_claim,False
v5m_forward_paper_cycle_readiness,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5m_p0_closure,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5m_qmt_historical_contract_recovery,execution_only,execution_only_no_strategy_nav_claim,False
v5m_strict_cash_state_nav_repair,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5m_workflow_test_isolation_repair,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
