canonical_model_id,may_participate_in_return_alpha_beta_sharpe_ir_comparison,reason
insurance_low_pb_dividend_v53b,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
insurance_low_pb_solvency_guard_v53e,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
insurance_pev_nbv_v53f_diagnostic,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
insurance_value_investment_solvency_v53d,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
insurance_value_quality_v53_test1,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
locked_pool_monthly_mom12_70_30,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
mr_borrow_paired_drop_spike_net0_cap10_next2,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
oil_gas_ocf_dividend_cycle_probe_v58a,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
oil_gas_ocf_low_vol_value_v58b,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
oil_gas_state_conditioned_ocf_v58d,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
port_rail_cashflow_dividend_v55a,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
port_rail_cashflow_operating_state_v55b,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
pressure_positive_1000_else_1400_buy,False,execution_or_engineering_without_strategy_nav
telecom_operators_cashflow_dividend_v55a,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
utilities_cashflow_value_v51b,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
utilities_conditional_low_pb_cashflow_v51d,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
utilities_low_pb_cashflow_v51c,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
utilities_value_quality_v51,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v4_bank_candidate1,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5b_etf_holdings_reference_audit,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5b_etf_pit_sector_gate_audit,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5b_forward_paper_handoff,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5b_no_jq_1234_execution,False,execution_or_engineering_without_strategy_nav
v5b_no_jq_next_actions,False,execution_or_engineering_without_strategy_nav
v5b_no_jq_sleeve_promotion,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5b_non_core_sector_disposition,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5b_non_core_sector_queue_execution,False,execution_or_engineering_without_strategy_nav
v5b_telecom_sidecar_attribution,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5b_telecom_specialist_policy,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5b_three_track_execution,False,execution_or_engineering_without_strategy_nav
v5b_three_track_execution_plan,False,execution_or_engineering_without_strategy_nav
v5c_50w_execution_micro_audit,False,execution_or_engineering_without_strategy_nav
v5c_bank_power_dedicated_book_card_collection,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_bank_power_financial_report_batch_extraction,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_bank_power_financial_report_data_gate,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_bank_power_financial_report_pit_panel,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_bank_power_industry_factor_weight_test,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_bank_power_single_factor_cross_section_test,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_bank_power_v5f_attribution,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_bank_special_mention_pre2021_train_test,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_continuation_decision,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_core_infra_cashflow_field_repair,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_cross_sector_pre2021_factor_screen,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_cycle_sector_data_gate_queue,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_defense_overlay_pm_quant_review,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_erc_formal_validation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_erc_forward_paper_tracking,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_erc_pm_quant_review,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_final_archive,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_financial_statement_expectation_layer,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_fixed_rule_risk_budget_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_forward_financial_statement_tracking,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_highway_capex_fcf_small_original_page_review,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_highway_ocf_risk_cap_rule_freeze,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_highway_ocf_risk_cap_v1_limited_engineering,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_industry_knowledge_base_bank_power_p0,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_infra_capex_original_statement_extraction,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_infra_ocf_quality_fixed_rule_quant_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_key_metric_confidence_tilt_overlay,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_key_weight_metric_prediction,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_low_capital_version_handoff,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_overheat_no_new_overweight_limited_engineering,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_overheat_overlay_pm_quant_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_overlay_engineering_comparison,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_overlay_hypothesis_admission,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_overlay_quant_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_p1_financial_quality_pit_panel,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_p2_valuation_and_crowding_state_panel,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_p3_state_governance_quant_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_p4_state_forward_observation_packet,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_power_specialist_combo_deep_dive,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_profit_taking_overheat_overlay,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_sidecar_observation_enhancement,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5c_sleeve_level_risk_attribution,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5d_baostock_5min_data_gate,False,execution_or_engineering_without_strategy_nav
v5d_free_minute_source_audit,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5d_l2_conservative_slippage_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5d_l2_execution_cost_broker_paper_review,False,execution_or_engineering_without_strategy_nav
v5d_l2_liquidity_instant_fill_review,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5d_l2_order_scheduling_pm_quant_review,False,execution_or_engineering_without_strategy_nav
v5d_l3_1_unfilled_remediation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5d_l3_intraday_execution_policy_spec,False,execution_or_engineering_without_strategy_nav
v5d_l3_pm_quant_review,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5d_minute_execution_audit,False,execution_or_engineering_without_strategy_nav
v5d_order_scheduling_policy_spec,False,execution_or_engineering_without_strategy_nav
v5d_yixin_api_capability_probe,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_511360_cash_proxy_forward_stress_packet,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_511360_cash_proxy_limited_engineering,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_511360_cash_proxy_limited_engineering_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_511360_cash_proxy_pm_quant_review,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_511360_forward_paper_tracking,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_511360_pit_data_audit,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_capital_sensitivity_test,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_cash_drag_robustness_packet,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_cash_policy_review,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_cash_proxy_asset_data_gate,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_daily_momentum_diagnostic_addendum,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_formal_validation_forward_packet,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_forward_paper_continuation_v5f_prep,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_forward_paper_daily_packet,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_full_holding_5min_data_gate,False,execution_or_engineering_without_strategy_nav
v5e_full_holding_5min_momentum_research,False,execution_or_engineering_without_strategy_nav
v5e_full_holding_rolling_intraday_research,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_full_intraday_nav_engineering_test,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_holding_period_exit_pm_review,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_limited_engineering_loop,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_long_horizon_momentum_diagnostic,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_pm_quant_formal_review,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_post_exit_5min_monitoring_audit_packet,False,execution_or_engineering_without_strategy_nav
v5e_post_exit_5min_monitoring_data_gate,False,execution_or_engineering_without_strategy_nav
v5e_profit_lock_execution_robust_formal_review,False,execution_or_engineering_without_strategy_nav
v5e_profit_lock_main_forward_paper_execution_tracking,False,execution_or_engineering_without_strategy_nav
v5e_profit_lock_model_comparison,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_quant_spec_single_name_exit,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_reasonable_momentum_range_test,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_short_financing_etf_cash_proxy_selection_gate,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_sleeve_cash_bucket_engineering,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_sleeve_cash_policy_quant_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_sleeve_level_risk_release_limited_engineering,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_sleeve_level_risk_release_pm_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_sleeve_level_risk_release_quant_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5e_trigger_day_5min_execution_data_gate,False,execution_or_engineering_without_strategy_nav
v5e_trigger_day_5min_execution_proxy_test,False,execution_or_engineering_without_strategy_nav
v5f_1min_forward_observation_append,False,execution_or_engineering_without_strategy_nav
v5f_1min_intraday_relative_zone_timing_test,False,execution_or_engineering_without_strategy_nav
v5f_1min_microstructure_signal_quality_gate,False,execution_or_engineering_without_strategy_nav
v5f_1min_queue_123_execution,False,execution_or_engineering_without_strategy_nav
v5f_1min_vwap_execution_precision_audit,False,execution_or_engineering_without_strategy_nav
v5f_adaptive_momentum_governance,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_backtest_scope_governance_correction,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_clean_forward_target_population,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_deployment_governance_paper_workflow,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_event_triggered_mean_reversion_borrowing_test,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_extreme_value_reversion,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_forward_paper_tracking_with_v5c_state_tags,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_forward_paper_v5c_state_tags,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_improvement_queue_execution,False,execution_or_engineering_without_strategy_nav
v5f_internal_subsleeve_candidate_replacement_packet,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_internal_subsleeve_deep_engineering,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_internal_subsleeve_deep_research_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_internal_subsleeve_deployment_governance,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_internal_subsleeve_forward_paper_tracking,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_internal_subsleeve_pm_quant_review,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_internal_subsleeve_queue_123_execution,False,execution_or_engineering_without_strategy_nav
v5f_internal_subsleeve_robustness_packet,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_joinquant_export_checklist,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_joinquant_now_execution,False,execution_or_engineering_without_strategy_nav
v5f_joinquant_platform_attribution,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_joinquant_platform_forward_handoff,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_local_1min_data_package_audit,False,execution_or_engineering_without_strategy_nav
v5f_locked_pool_conditional_momentum,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_locked_pool_daily_momentum_governance,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_mean_reversion_diagnostic,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_model_comparison_progress,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_momentum_weight_tilt_backtest_scope,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_momentum_weight_tilt_forward_paper_tracking,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_momentum_weight_tilt_limited_engineering,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_momentum_weight_tilt_pm_quant_review,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_momentum_weight_tilt_quant_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_needed_model_full_comparison,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_overlay_deployment_governance_review,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_paper_workflow_artifacts,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_physics_curve_diagnostic_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_physics_curve_full_5min_diagnostic,False,execution_or_engineering_without_strategy_nav
v5f_pre2021_5min_blocker_completion,False,execution_or_engineering_without_strategy_nav
v5f_pre2021_factor_panel_repair,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_pre2021_multisleeve_mainline_validation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_pre2021_repaired_multisleeve_data_gate,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_prebacktest_5min_to_backtest,False,execution_or_engineering_without_strategy_nav
v5f_prejq_v5c_v5g_integration,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_progress_checkpoint,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_quality_value_mean_reversion,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_repaired_baseline_overlay_comparison,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_repaired_overlay_forward_paper_tracking,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_short_window_reversion_diagnostic,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_short_window_reversion_nav_engineering,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_short_window_reversion_walk_forward_robustness,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_short_window_spike_reversion_symmetry,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_spike_funded_mr_borrowing_forward_observation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_spike_funded_mr_borrowing_independent_validation_gate,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_spike_mr_prebacktest_to_backtest_jq_sim,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_spike_mr_signal_quality_filter_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_spike_mr_sleeve_threshold_effectiveness_audit,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_structural_rough_screen,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_v57f_qv_mr_combination,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5f_value_momentum_reversion_balance_test,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5g_01_state_gated_internal_subsleeve_limited_engineering,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5g_01_state_gated_internal_subsleeve_quant_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5g_02_quality_guarded_momentum_factor_validation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5g_03_erc_state_budget_conflict_review,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5g_04_cash_proxy_policy_data_gate,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5g_04_exit_policy_spec,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5g_05_short_window_reversion_independent_validation_gate,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5g_cross_line_model_research_startup,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5g_next_queue_execution,False,execution_or_engineering_without_strategy_nav
v5g_vs_midterm_model_comparison,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5h_1min_research_line_governance,False,execution_or_engineering_without_strategy_nav
v5h_1min_volume_amount_timing_test,False,execution_or_engineering_without_strategy_nav
v5h_buy_execution_backtest,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5h_buy_execution_queue_123,False,execution_or_engineering_without_strategy_nav
v5h_buy_execution_spec_v1,False,execution_or_engineering_without_strategy_nav
v5h_buy_execution_spec_v1_forward_observation,False,execution_or_engineering_without_strategy_nav
v5h_buy_execution_spec_v1_jq_broker_paper_mapping,False,execution_or_engineering_without_strategy_nav
v5h_buy_execution_timing_overlay,False,execution_or_engineering_without_strategy_nav
v5h_combined_buy_execution_overlay_v1_observation,False,execution_or_engineering_without_strategy_nav
v5h_market_cap_pit_segmentation_gate,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5h_market_cap_pit_source_repair,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5h_pre2021_total_market_cap_source_repair,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5h_quiet_or_active_independent_validation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5h_segmented_1min_execution_diagnostic,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5h_size_liquidity_interaction_independent_validation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5i_sell_execution_evaluation,False,execution_or_engineering_without_strategy_nav
v5i_sell_execution_provenance,False,execution_or_engineering_without_strategy_nav
v5i_technical_exploration_hour_packet,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5i_technical_sell_execution_quant_spec,False,execution_or_engineering_without_strategy_nav
v5j_1min_technical_pattern_diagnostic,False,execution_or_engineering_without_strategy_nav
v5j_5day_1min_family_execution_validation,False,execution_or_engineering_without_strategy_nav
v5j_5day_1min_sell_formal_backtest,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_bank_2011_2012_regulatory_pdf_repair,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_cross_period_technical_validation_gate,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_family_sell_execution_formal_backtest,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_family_specific_sell_timing_diagnostic,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_frozen_buy_timing_full_pit_validation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_frozen_sell_timing_full_pit_validation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_frozen_v5f_exact_target_validation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_infra_cashflow_parser_failure_diagnostic,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_local_adjust_factor_corporate_action,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_material_action_original_notice_extract,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_material_action_unclassified_notice_fallback,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_material_corporate_action_notice_repair,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_missing_1min_source_repair,False,execution_or_engineering_without_strategy_nav
v5j_momentum_cash_neutral_engineering,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_momentum_daily_price_volume_sell,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_momentum_overlay_cash_neutral_execution_spec,False,execution_or_engineering_without_strategy_nav
v5j_momentum_overlay_partial_buy_skip,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_overlay_only_sell_formal_backtest,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_overlay_only_sell_validation,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_pit_disclosure_trust_audit,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_pit_dividend_corporate_action_ledger,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_pit_pool_1min_pairing,False,execution_or_engineering_without_strategy_nav
v5j_pre2019_pit_rebuild_data_gate,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_pre2021_infra_original_cashflow_panel,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_pre2021_pit_repair_continuation_queue,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_pre2021_target_reconstruction_readiness,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
v5j_repaired_multisleeve_pit_pool,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
