canonical_model_id,tier,comparability_status,benchmark_quality_grade,validation_independence_status,execution_evidence_status,promotion_eligibility,reporting_interpretation_limit
insurance_pev_value_v53g,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
internal_subsleeve_mom12_70_30,tier_a1_comparable_parent_or_market_benchmark,comparable_reporting_only,parent_strategy,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
oil_gas_state_conditioned_ocf_v58g,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
port_rail_cashflow_value_operating_diagnostic_v55c,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
utilities_demand_state_v51f,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
v57f_startup_preload_repaired_baseline,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
v5c_50w_execution_optimization_test,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
v5c_defense_overlay_exploration,tier_a1_comparable_parent_or_market_benchmark,comparable_reporting_only,parent_strategy,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
v5c_defense_overlay_formal_validation,tier_a1_comparable_parent_or_market_benchmark,comparable_reporting_only,parent_strategy,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
v5c_p0_local_data_gate,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
v5c_risk_budget_overlay_engineering_comparison,tier_a1_comparable_parent_or_market_benchmark,comparable_reporting_only,parent_strategy,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
v5c_sleeve_weighting_diagnostic,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
v5c_sleeve_weighting_rigorous_test,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
v5c_topx_capital_rigorous_test,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
v5d_l3_intraday_execution_engineering,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
v5d_minute_execution_robustness,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
v5d_order_scheduling_engineering_test,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
