canonical_model_id,research_value,next_evidence,archive_wait_or_observe,duplicate_of_canonical
port_rail_cashflow_dividend_v55a,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
port_rail_cashflow_operating_state_v55b,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
pressure_positive_1000_else_1400_buy,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
telecom_operators_cashflow_dividend_v55a,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
utilities_cashflow_value_v51b,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
utilities_conditional_low_pb_cashflow_v51d,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
utilities_low_pb_cashflow_v51c,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
utilities_value_quality_v51,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v4_bank_candidate1,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5b_etf_holdings_reference_audit,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5b_etf_pit_sector_gate_audit,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5b_forward_paper_handoff,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5b_no_jq_1234_execution,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5b_no_jq_next_actions,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5b_no_jq_sleeve_promotion,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5b_non_core_sector_disposition,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5b_non_core_sector_queue_execution,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5b_telecom_sidecar_attribution,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5b_telecom_specialist_policy,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5b_three_track_execution,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5b_three_track_execution_plan,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_50w_execution_micro_audit,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_bank_power_dedicated_book_card_collection,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_bank_power_financial_report_batch_extraction,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_bank_power_financial_report_data_gate,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_bank_power_financial_report_pit_panel,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_bank_power_industry_factor_weight_test,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_bank_power_single_factor_cross_section_test,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_bank_power_v5f_attribution,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_bank_special_mention_pre2021_train_test,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_continuation_decision,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_core_infra_cashflow_field_repair,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_cross_sector_pre2021_factor_screen,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_cycle_sector_data_gate_queue,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_defense_overlay_pm_quant_review,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_erc_formal_validation,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_erc_forward_paper_tracking,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_erc_pm_quant_review,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_final_archive,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_financial_statement_expectation_layer,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_fixed_rule_risk_budget_spec,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_forward_financial_statement_tracking,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_highway_capex_fcf_small_original_page_review,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_highway_ocf_risk_cap_rule_freeze,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_highway_ocf_risk_cap_v1_limited_engineering,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_industry_knowledge_base_bank_power_p0,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_infra_capex_original_statement_extraction,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_infra_ocf_quality_fixed_rule_quant_spec,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_key_metric_confidence_tilt_overlay,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_key_weight_metric_prediction,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_low_capital_version_handoff,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_overheat_no_new_overweight_limited_engineering,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_overheat_overlay_pm_quant_spec,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_overlay_engineering_comparison,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_overlay_hypothesis_admission,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_overlay_quant_spec,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_p1_financial_quality_pit_panel,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_p2_valuation_and_crowding_state_panel,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_p3_state_governance_quant_spec,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_p4_state_forward_observation_packet,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_power_specialist_combo_deep_dive,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_profit_taking_overheat_overlay,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_sidecar_observation_enhancement,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5c_sleeve_level_risk_attribution,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5d_baostock_5min_data_gate,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5d_free_minute_source_audit,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5d_l2_conservative_slippage_spec,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5d_l2_execution_cost_broker_paper_review,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5d_l2_liquidity_instant_fill_review,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5d_l2_order_scheduling_pm_quant_review,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5d_l3_1_unfilled_remediation,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5d_l3_intraday_execution_policy_spec,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5d_l3_pm_quant_review,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5d_minute_execution_audit,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5d_order_scheduling_policy_spec,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5d_yixin_api_capability_probe,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_511360_cash_proxy_forward_stress_packet,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_511360_cash_proxy_limited_engineering,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_511360_cash_proxy_limited_engineering_spec,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_511360_cash_proxy_pm_quant_review,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_511360_forward_paper_tracking,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_511360_pit_data_audit,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_capital_sensitivity_test,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_cash_drag_robustness_packet,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_cash_policy_review,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_cash_proxy_asset_data_gate,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_daily_momentum_diagnostic_addendum,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_formal_validation_forward_packet,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_forward_paper_continuation_v5f_prep,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_forward_paper_daily_packet,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_full_holding_5min_data_gate,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_full_holding_5min_momentum_research,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_full_holding_rolling_intraday_research,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_full_intraday_nav_engineering_test,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_holding_period_exit_pm_review,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_limited_engineering_loop,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_long_horizon_momentum_diagnostic,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_pm_quant_formal_review,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_post_exit_5min_monitoring_audit_packet,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_post_exit_5min_monitoring_data_gate,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_profit_lock_execution_robust_formal_review,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_profit_lock_main_forward_paper_execution_tracking,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_profit_lock_model_comparison,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_quant_spec_single_name_exit,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_reasonable_momentum_range_test,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_short_financing_etf_cash_proxy_selection_gate,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_sleeve_cash_bucket_engineering,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_sleeve_cash_policy_quant_spec,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_sleeve_level_risk_release_limited_engineering,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_sleeve_level_risk_release_pm_spec,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_sleeve_level_risk_release_quant_spec,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_trigger_day_5min_execution_data_gate,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5e_trigger_day_5min_execution_proxy_test,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_1min_forward_observation_append,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_1min_intraday_relative_zone_timing_test,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_1min_microstructure_signal_quality_gate,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_1min_queue_123_execution,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_1min_vwap_execution_precision_audit,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_adaptive_momentum_governance,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_backtest_scope_governance_correction,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_clean_forward_target_population,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_deployment_governance_paper_workflow,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_event_triggered_mean_reversion_borrowing_test,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_extreme_value_reversion,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_forward_paper_tracking_with_v5c_state_tags,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_forward_paper_v5c_state_tags,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_improvement_queue_execution,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_internal_subsleeve_candidate_replacement_packet,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_internal_subsleeve_deep_engineering,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_internal_subsleeve_deep_research_spec,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_internal_subsleeve_deployment_governance,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
v5f_internal_subsleeve_forward_paper_tracking,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
