code,report_period,sleeve_ids,source_pdf,availability_status,future_annual_report_substitution_allowed,price_proxy_allowed,usable_for_exact_target
000520.XSHE,2018-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000520_XSHE_2018-03-31.pdf,needs_original_table_layout_review,False,False,False
000520.XSHE,2018-09-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000520_XSHE_2018-09-30.pdf,needs_original_table_layout_review,False,False,False
000520.XSHE,2019-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000520_XSHE_2019-03-31.pdf,needs_original_table_layout_review,False,False,False
000520.XSHE,2020-09-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000520_XSHE_2020-09-30.pdf,needs_original_table_layout_review,False,False,False
000531.XSHE,2017-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000531_XSHE_2017-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000531.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000531_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000539.XSHE,2020-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000539_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000539.XSHE,2020-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000539_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000543.XSHE,2020-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000543_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000548.XSHE,2017-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000548_XSHE_2017-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000548.XSHE,2020-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000548_XSHE_2020-09-30.pdf,needs_original_table_layout_review,False,False,False
000557.XSHE,2018-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000557_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000557.XSHE,2019-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000557_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000557.XSHE,2019-09-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000557_XSHE_2019-09-30.pdf,needs_original_table_layout_review,False,False,False
000557.XSHE,2020-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000557_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000557.XSHE,2020-09-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000557_XSHE_2020-09-30.pdf,needs_original_table_layout_review,False,False,False
000582.XSHE,2018-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000582_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000582.XSHE,2020-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000582_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000591.XSHE,2018-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000591_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000591.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000591_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000591.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000591_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000591.XSHE,2020-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000591_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000591.XSHE,2020-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000591_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000600.XSHE,2018-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000600_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000600.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000600_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000600.XSHE,2019-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000600_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000600.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000600_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000600.XSHE,2020-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000600_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000600.XSHE,2020-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000600_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000601.XSHE,2020-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000601_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000602.XSHE,2013-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000602_XSHE_2013-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000690.XSHE,2018-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000690_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000690.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000690_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000690.XSHE,2019-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000690_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000690.XSHE,2020-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000690_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000692.XSHE,2018-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000692_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000692.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000692_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000692.XSHE,2019-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000692_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000692.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000692_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000695.XSHE,2014-06-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000695_XSHE_2014-06-30.pdf,needs_original_table_layout_review,False,False,False
000695.XSHE,2014-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000695_XSHE_2014-09-30.pdf,needs_original_table_layout_review,False,False,False
000695.XSHE,2014-12-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000695_XSHE_2014-12-31.pdf,needs_original_table_layout_review,False,False,False
000695.XSHE,2015-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000695_XSHE_2015-03-31.pdf,needs_original_table_layout_review,False,False,False
000695.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000695_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000720.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000720_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000720.XSHE,2020-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000720_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000720.XSHE,2020-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000720_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000722.XSHE,2019-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000722_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000755.XSHE,2018-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000755_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000755.XSHE,2019-03-31,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000755_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000755.XSHE,2019-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000755_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000755.XSHE,2020-03-31,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000755_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000755.XSHE,2020-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000755_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000767.XSHE,2019-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000767_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000791.XSHE,2018-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000791_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000828.XSHE,2017-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000828_XSHE_2017-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000828.XSHE,2018-03-31,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000828_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000828.XSHE,2018-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000828_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000828.XSHE,2019-03-31,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000828_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000862.XSHE,2017-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000862_XSHE_2017-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000862.XSHE,2019-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000862_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000862.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000862_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000875.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000875_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000875.XSHE,2020-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000875_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000883.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000883_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000883.XSHE,2019-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000883_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000883.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000883_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000883.XSHE,2020-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000883_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000883.XSHE,2020-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000883_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000885.XSHE,2018-03-31,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000885_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000885.XSHE,2019-03-31,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000885_XSHE_2019-03-31.pdf,needs_ocr_source_review,False,False,False
000885.XSHE,2020-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000885_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000899.XSHE,2018-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000899_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000899.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000899_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000899.XSHE,2020-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000899_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000899.XSHE,2020-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000899_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000900.XSHE,2018-03-31,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000900_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000900.XSHE,2018-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000900_XSHE_2018-09-30.pdf,needs_original_table_layout_review,False,False,False
000900.XSHE,2019-03-31,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000900_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000900.XSHE,2019-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000900_XSHE_2019-09-30.pdf,needs_original_table_layout_review,False,False,False
000905.XSHE,2018-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000905_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000905.XSHE,2018-09-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000905_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000905.XSHE,2019-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000905_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000905.XSHE,2020-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000905_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000905.XSHE,2020-09-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000905_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000958.XSHE,2018-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000958_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000958.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000958_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000958.XSHE,2019-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000958_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000958.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000958_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000966.XSHE,2017-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000966_XSHE_2017-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000966.XSHE,2018-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000966_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000966.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000966_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000966.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000966_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000993.XSHE,2020-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000993_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
001872.XSHE,2020-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\001872_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
001896.XSHE,2017-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\001896_XSHE_2017-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
001896.XSHE,2018-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\001896_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
001896.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\001896_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
001965.XSHE,2018-03-31,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\001965_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
001965.XSHE,2018-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\001965_XSHE_2018-09-30.pdf,needs_original_table_layout_review,False,False,False
001965.XSHE,2019-03-31,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\001965_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
001965.XSHE,2019-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\001965_XSHE_2019-09-30.pdf,needs_original_table_layout_review,False,False,False
001965.XSHE,2020-03-31,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\001965_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
001965.XSHE,2020-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\001965_XSHE_2020-09-30.pdf,needs_original_table_layout_review,False,False,False
002015.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002015_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002039.XSHE,2018-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002039_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002039.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002039_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002040.XSHE,2017-09-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002040_XSHE_2017-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002040.XSHE,2018-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002040_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002040.XSHE,2018-09-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002040_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002040.XSHE,2019-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002040_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002040.XSHE,2019-09-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002040_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002040.XSHE,2020-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002040_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002040.XSHE,2020-09-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002040_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002320.XSHE,2017-09-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002320_XSHE_2017-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002320.XSHE,2019-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002320_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002320.XSHE,2020-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002320_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002320.XSHE,2020-09-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002320_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002357.XSHE,2018-03-31,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002357_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002357.XSHE,2018-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002357_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002357.XSHE,2019-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002357_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002357.XSHE,2020-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002357_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002479.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002479_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002479.XSHE,2019-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002479_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002608.XSHE,2017-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002608_XSHE_2017-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002608.XSHE,2018-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002608_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002608.XSHE,2019-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002608_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002608.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002608_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
002608.XSHE,2020-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\002608_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
