trade_date,code,amount,net_cash_per_share,dividend_cash
2024-06-27,600033.XSHG,31200,0.096,2995.2000000000003
2024-06-28,601077.XSHG,22500,0.2308,5193.0
2024-06-28,601816.XSHG,20500,0.08928,1830.24
2024-07-05,600908.XSHG,20700,0.16,3312.0
2024-07-05,600795.XSHG,18800,0.056,1052.8
2024-07-10,601169.XSHG,19300,0.256,4940.8
2024-07-11,600011.XSHG,11500,0.16,1840.0
2024-07-12,601939.XSHG,14900,0.32,4768.0
2024-07-15,000429.XSHE,10800,0.4376,4726.08
2024-07-16,601398.XSHG,19400,0.24512,4755.328
2024-07-17,601326.XSHG,35100,0.0664,2330.64
2024-07-18,600000.XSHG,13600,0.2568,3492.4799999999996
2024-07-26,600377.XSHG,8700,0.376,3271.2
2024-08-08,000883.XSHE,18400,0.072,1324.8
2024-08-23,601991.XSHG,36300,0.006,217.8
2024-10-21,000905.XSHE,18300,0.0424,775.92
2024-10-25,600681.XSHG,31800,0.072,2289.6
2024-10-31,600795.XSHG,22700,0.072,1634.3999999999999
2024-12-20,600033.XSHG,32500,0.04,1300.0
2025-01-22,601818.XSHG,32400,0.0832,2695.68
2025-04-25,601988.XSHG,22600,0.09728,2198.5280000000002
2025-04-30,002807.XSHE,28300,0.16,4528.0
2025-05-09,601008.XSHG,32200,0.048,1545.6000000000001
2025-05-14,000828.XSHE,12200,0.26,3172.0
2025-05-16,601018.XSHG,33500,0.0864,2894.4
2025-05-29,000900.XSHE,29600,0.12,3552.0
2025-06-04,000791.XSHE,18200,0.144,2620.7999999999997
2025-06-05,002966.XSHE,15700,0.16,2512.0
2025-06-06,601997.XSHG,21200,0.232,4918.400000000001
2025-06-13,600017.XSHG,40400,0.0688,2779.52
2025-06-16,000905.XSHE,16100,0.044,708.4
2025-06-19,600717.XSHG,26200,0.0832,2179.8399999999997
2025-06-25,000543.XSHE,16100,0.2552,4108.719999999999
2025-06-27,601825.XSHG,14700,0.1544,2269.6800000000003
2025-06-27,002039.XSHE,7600,0.048,364.8
2025-06-27,600098.XSHG,19100,0.216,4125.6
2025-06-27,600035.XSHG,28000,0.136,3808.0000000000005
2025-07-04,600908.XSHG,20800,0.176,3660.7999999999997
2025-07-10,600011.XSHG,18600,0.216,4017.6
2025-07-10,600795.XSHG,26800,0.088,2358.3999999999996
2025-07-11,600033.XSHG,37700,0.04,1508.0
2025-07-14,601398.XSHG,17400,0.13168,2291.232
2025-07-14,600027.XSHG,24300,0.104,2527.2
2025-07-14,000429.XSHE,9900,0.4184,4142.16
2025-07-15,600020.XSHG,27500,0.136,3740.0000000000005
2025-07-17,600018.XSHG,23300,0.116,2702.8
2025-07-18,601326.XSHG,41200,0.068,2801.6000000000004
2025-07-30,600377.XSHG,8600,0.392,3371.2000000000003
2025-08-05,600350.XSHG,12500,0.336,4200.0
2025-08-08,601228.XSHG,41000,0.0312,1279.2
2025-08-15,601333.XSHG,46300,0.056,2592.8
2025-08-22,601991.XSHG,40700,0.04968,2021.976
2025-10-15,000001.XSHE,12100,0.1888,2284.48
2025-10-15,002839.XSHE,32000,0.08,2560.0
2025-10-16,600803.XSHG,7400,0.144,1065.6
2025-10-24,601018.XSHG,37500,0.024,900.0
2025-10-29,600795.XSHG,26700,0.08,2136.0
2025-10-29,603689.XSHG,16200,0.04,648.0
2025-10-31,600017.XSHG,44500,0.0264,1174.8
2025-11-12,600027.XSHG,26500,0.072,1907.9999999999998
2025-11-25,600908.XSHG,23500,0.088,2068.0
2025-12-03,002807.XSHE,31200,0.08,2496.0
2025-12-15,601398.XSHG,18900,0.11312,2137.968
2025-12-31,600033.XSHG,41000,0.04,1640.0
2026-01-13,600018.XSHG,25800,0.04,1032.0
2026-02-05,601860.XSHG,50700,0.04,2028.0
2026-05-12,601528.XSHG,26400,0.168,4435.200000000001
2026-05-19,000828.XSHE,14100,0.26,3666.0
2026-05-29,002039.XSHE,7600,0.312,2371.2
