trade_date,code,amount,net_cash_per_share,dividend_cash
2023-08-16,000883.XSHE,18700,0.048,897.6
2024-05-10,002807.XSHE,23900,0.152,3632.7999999999997
2024-05-14,000690.XSHE,18100,0.24,4344.0
2024-05-15,600018.XSHG,17100,0.1376,2352.96
2024-05-28,600020.XSHG,24700,0.1192,2944.2400000000002
2024-06-07,603323.XSHG,20100,0.144,2894.3999999999996
2024-06-07,600035.XSHG,21200,0.152,3222.4
2024-06-13,000900.XSHE,24600,0.12,2952.0
2024-06-14,601187.XSHG,17400,0.248,4315.2
2024-06-14,600017.XSHG,33200,0.052,1726.3999999999999
2024-06-18,000027.XSHE,12800,0.112,1433.6000000000001
2024-06-20,600717.XSHG,21100,0.0816,1721.7600000000002
2024-06-25,600350.XSHG,11200,0.336,3763.2000000000003
2024-06-27,601229.XSHG,13600,0.368,5004.8
2024-06-27,600033.XSHG,27600,0.096,2649.6
2024-06-28,601077.XSHG,19900,0.2308,4592.92
2024-06-28,601816.XSHG,18200,0.08928,1624.896
2024-07-05,600908.XSHG,18300,0.16,2928.0
2024-07-05,600795.XSHG,16600,0.056,929.6
2024-07-10,601169.XSHG,17000,0.256,4352.0
2024-07-11,600011.XSHG,10200,0.16,1632.0
2024-07-12,601939.XSHG,13200,0.32,4224.0
2024-07-15,000429.XSHE,9500,0.4376,4157.2
2024-07-16,601398.XSHG,17200,0.24512,4216.064
2024-07-17,601326.XSHG,31000,0.0664,2058.4
2024-07-18,600000.XSHG,12100,0.2568,3107.2799999999997
2024-07-26,600377.XSHG,7700,0.376,2895.2
2024-08-08,000883.XSHE,16300,0.072,1173.6
2024-08-23,601991.XSHG,32100,0.006,192.6
2024-10-21,000905.XSHE,16200,0.0424,686.88
2024-10-25,600681.XSHG,28200,0.072,2030.3999999999999
2024-10-31,600795.XSHG,20100,0.072,1447.1999999999998
2024-12-20,600033.XSHG,28800,0.04,1152.0
2025-01-22,601818.XSHG,28700,0.0832,2387.8399999999997
2025-04-25,601988.XSHG,20000,0.09728,1945.6000000000001
2025-04-30,002807.XSHE,25000,0.16,4000.0
2025-05-09,601008.XSHG,28500,0.048,1368.0
2025-05-14,000828.XSHE,10800,0.26,2808.0
2025-05-16,601018.XSHG,29700,0.0864,2566.08
2025-05-29,000900.XSHE,26200,0.12,3144.0
2025-06-04,000791.XSHE,16100,0.144,2318.3999999999996
2025-06-05,002966.XSHE,13900,0.16,2224.0
2025-06-06,601997.XSHG,18800,0.232,4361.6
2025-06-13,600017.XSHG,35700,0.0688,2456.16
2025-06-16,000905.XSHE,14300,0.044,629.1999999999999
2025-06-19,600717.XSHG,23200,0.0832,1930.24
2025-06-25,000543.XSHE,14200,0.2552,3623.8399999999997
2025-06-27,601825.XSHG,13000,0.1544,2007.2
2025-06-27,002039.XSHE,6700,0.048,321.6
2025-06-27,600098.XSHG,16900,0.216,3650.4
2025-06-27,600035.XSHG,24800,0.136,3372.8
2025-07-04,600908.XSHG,18400,0.176,3238.3999999999996
2025-07-10,600011.XSHG,16500,0.216,3564.0
2025-07-10,600795.XSHG,23700,0.088,2085.6
2025-07-11,600033.XSHG,33400,0.04,1336.0
2025-07-14,601398.XSHG,15400,0.13168,2027.8719999999998
2025-07-14,600027.XSHG,21500,0.104,2236.0
2025-07-14,000429.XSHE,8800,0.4184,3681.92
2025-07-15,600020.XSHG,24400,0.136,3318.4
2025-07-17,600018.XSHG,20600,0.116,2389.6
2025-07-18,601326.XSHG,36400,0.068,2475.2000000000003
2025-07-30,600377.XSHG,7600,0.392,2979.2000000000003
2025-08-05,600350.XSHG,11000,0.336,3696.0000000000005
2025-08-08,601228.XSHG,36300,0.0312,1132.56
2025-08-15,601333.XSHG,41000,0.056,2296.0
2025-08-22,601991.XSHG,36000,0.04968,1788.48
2025-10-15,000001.XSHE,10700,0.1888,2020.1599999999999
2025-10-15,002839.XSHE,28300,0.08,2264.0
2025-10-16,600803.XSHG,6600,0.144,950.4
2025-10-24,601018.XSHG,33200,0.024,796.8000000000001
2025-10-29,600795.XSHG,23600,0.08,1888.0
2025-10-29,603689.XSHG,14300,0.04,572.0
2025-10-31,600017.XSHG,39400,0.0264,1040.16
2025-11-12,600027.XSHG,23400,0.072,1684.8
2025-11-25,600908.XSHG,20800,0.088,1830.3999999999999
2025-12-03,002807.XSHE,27600,0.08,2208.0
2025-12-15,601398.XSHG,16700,0.11312,1889.104
2025-12-31,600033.XSHG,36300,0.04,1452.0
2026-01-13,600018.XSHG,22900,0.04,916.0
2026-02-05,601860.XSHG,44900,0.04,1796.0
2026-05-12,601528.XSHG,23400,0.168,3931.2000000000003
2026-05-19,000828.XSHE,12500,0.26,3250.0
2026-05-29,002039.XSHE,6700,0.312,2090.4
