seed_id,seed_keyword,report_id,title,org_name,pub_time_str,view_url,stage1_title_filter_passed,paragraph_count,paragraph_matched_terms,paragraph_passed,pdf_status,pdf_path,evidence_card_allowed
S02,低波动 策略,4890781,量化信用策略：低波动与稳收益策略,国金证券,2025/06/08/,https://www.fxbaogao.com/view?id=4890781,yes,13,组合,no,not_attempted_paragraph_failed,,no_pdf_review_required_first
S02,低波动 策略,4888804,量化信用策略：低波动与稳收益策略,国金证券,2025/06/09/,https://www.fxbaogao.com/view?id=4888804,yes,13,组合,no,not_attempted_paragraph_failed,,no_pdf_review_required_first
S02,低波动 策略,5508597,低票息低波动量化信用策略,国金证券,2026/07/03/,https://www.fxbaogao.com/view?id=5508597,yes,11,组合,no,not_attempted_paragraph_failed,,no_pdf_review_required_first
S02,低波动 策略,5508905,信用策略备忘录：低票息低波动,国金证券,2026/07/03/,https://www.fxbaogao.com/view?id=5508905,yes,11,组合,no,not_attempted_paragraph_failed,,no_pdf_review_required_first
S02,低波动 策略,5556116,全球外汇策略：低波动环境下套息交易持续主导,摩根大通,2026/07/23/,https://www.fxbaogao.com/view?id=5556116,yes,0,,no,not_attempted_paragraph_failed,,no_pdf_review_required_first
S03,高股息 策略,5512765,金融工程专题研究：中证智选高股息策略指数十问十答,国信证券,2026/07/06/,https://www.fxbaogao.com/view?id=5512765,yes,20,低波;回撤;红利;组合;股息;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5512765.pdf,no_pdf_review_required_first
S03,高股息 策略,5127120,基金分析报告：低利率环境资产寻优：广发中证智选高股息策略ETF,民生证券,2025/10/31/,https://www.fxbaogao.com/view?id=5127120,yes,20,红利;组合;股息;资产配置;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5127120.pdf,no_pdf_review_required_first
S03,高股息 策略,5270252,高速公路2026年投资策略：高股息再入配置区间，静待政策催化,国盛证券,2026/02/23/,https://www.fxbaogao.com/view?id=5270252,yes,9,红利;股息;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5270252.pdf,no_pdf_review_required_first
S03,高股息 策略,5406049,险企A股重仓流通股研究：权益配置比重持续提升，高股息与成长策略并重,东方证券,2026/05/07/,https://www.fxbaogao.com/view?id=5406049,yes,20,红利;组合;股息;资产配置;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5406049.pdf,no_pdf_review_required_first
S03,高股息 策略,5429657,2026年中期银行业投资策略：息差拐点初现，高股息具备配置价值,华西证券,2026/05/20/,https://www.fxbaogao.com/view?id=5429657,yes,0,,no,not_attempted_paragraph_failed,,no_pdf_review_required_first
S03,高股息 策略,5058677,利率下行周期中的高股息增强策略,中泰证券,2025/09/10/,https://www.fxbaogao.com/view?id=5058677,yes,20,低波;低波动;回撤;红利;组合;股息;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5058677.pdf,no_pdf_review_required_first
S03,高股息 策略,100015104,"【中国银河策略】聚焦高股息赛道,构筑差异化优势——广发中证智选高股息策略ETF投资价值分析",中国银河,2025/10/26/,https://www.fxbaogao.com/view?id=100015104,yes,0,,no,not_attempted_paragraph_failed,,no_pdf_review_required_first
S03,高股息 策略,5216641,月度策略：继续关注科技成长及高股息“哑铃”策略,中原证券,2026/01/07/,https://www.fxbaogao.com/view?id=5216641,yes,12,再平衡;回撤;止盈;组合;股息;资产配置;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5216641.pdf,no_pdf_review_required_first
S03,高股息 策略,5302061,出版行业策略研究报告：高股息防御，AI+IP打开全新增长曲线,东北证券,2026/03/10/,https://www.fxbaogao.com/view?id=5302061,yes,8,回撤;红利;股息;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5302061.pdf,no_pdf_review_required_first
S03,高股息 策略,100126051,【申万宏源策略】不只是红利:高股息资产的再定价——港股行业比较春季策略报告,申万宏源,2026/03/19/,https://www.fxbaogao.com/view?id=100126051,yes,0,,no,not_attempted_paragraph_failed,,no_pdf_review_required_first
S03,高股息 策略,5401933,港股5月投资策略：高股息方向全面启动，关注可能正在改变的周期预期,国信证券,2026/05/05/,https://www.fxbaogao.com/view?id=5401933,yes,6,股息;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5401933.pdf,no_pdf_review_required_first
S03,高股息 策略,5428610,公用环保高股息投资策略,国投证券(香港),2026/05/19/,https://www.fxbaogao.com/view?id=5428610,yes,6,股息;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5428610.pdf,no_pdf_review_required_first
S03,高股息 策略,5481160,2026纺服&美护行业半年度策略：内需与上游双主线，高股息正当时,国金证券,2026/06/14/,https://www.fxbaogao.com/view?id=5481160,yes,8,红利;股息;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5481160.pdf,no_pdf_review_required_first
S03,高股息 策略,5066564,量化策略研究：高股息与高自由现金流策略的全面对比与优化,源达信息,2025/09/19/,https://www.fxbaogao.com/view?id=5066564,yes,19,低波;低波动;回撤;红利;股息;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5066564.pdf,no_pdf_review_required_first
S03,高股息 策略,5097800,本周聚焦：9月金融数据解读：M1提速释放积极信号，高股息策略防御属性凸显,国盛证券,2025/10/19/,https://www.fxbaogao.com/view?id=5097800,yes,3,红利;股息;资产配置;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5097800.pdf,no_pdf_review_required_first
S05,风险预算,5281979,基于风险预算的ETF配置实践：ETF配置系列（三）：构建不同风险偏好的ETF配置策略,国泰海通证券,2026/03/03/,https://www.fxbaogao.com/view?id=5281979,yes,20,低波;再平衡;回撤;红利;组合;资产配置;风险预算,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5281979.pdf,no_pdf_review_required_first
S05,风险预算,5442284,ETF配置系列（三）：基于风险预算的ETF配置实践：构建不同风险偏好的ETF配置策略,国泰海通证券,2026/05/28/,https://www.fxbaogao.com/view?id=5442284,yes,0,,no,not_attempted_paragraph_failed,,no_pdf_review_required_first
S05,风险预算,5203196,钨产业链更新风险预算驱动的大类资产配置框架20251222,未知机构,2025/12/22/,https://www.fxbaogao.com/view?id=5203196,yes,20,低波;低波动;回撤;组合;资产配置;风险管理;风险预算,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5203196.pdf,no_pdf_review_required_first
S05,风险预算,4974230,ETF风险预算风险平价模型,长江证券,2025/07/31/,https://www.fxbaogao.com/view?id=4974230,yes,20,再平衡;回撤;红利;组合;资产配置;风险预算,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_4974230.pdf,no_pdf_review_required_first
S05,风险预算,5346188,基于“组合保险+风险预算”两阶段法：稳健型多资产组合设计思路,东方证券,2026/04/11/,https://www.fxbaogao.com/view?id=5346188,yes,20,回撤;组合;资产配置;风险预算,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5346188.pdf,no_pdf_review_required_first
S06,组合再平衡,5516384,浦银国际月度资金流：AI交易逻辑变化，组合再平衡需求上升,浦银国际,2026/07/08/,https://www.fxbaogao.com/view?id=5516384,yes,3,组合;防守,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5516384.pdf,no_pdf_review_required_first
S07,回撤控制,5138693,金融工程深度：2025Q3超额回撤控制：动态风控视角,浙商证券,2025/11/06/,https://www.fxbaogao.com/view?id=5138693,yes,20,回撤;组合,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5138693.pdf,no_pdf_review_required_first
S07,回撤控制,5272355,主动量化研究系列：指增超额回撤控制：波动率分域视角,浙商证券,2026/02/24/,https://www.fxbaogao.com/view?id=5272355,yes,20,低波;低波动;回撤;组合;风险管理,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5272355.pdf,no_pdf_review_required_first
S07,回撤控制,5441627,固收专题研究：哪些基金的回撤控制较好,国联民生证券,2026/05/17/,https://www.fxbaogao.com/view?id=5441627,yes,20,回撤,no,not_attempted_paragraph_failed,,no_pdf_review_required_first
S07,回撤控制,5441838,华富基金严律：强于Beta管理、精于回撤控制的FOF专家,华安证券,2026/05/28/,https://www.fxbaogao.com/view?id=5441838,yes,20,低波;低波动;回撤;组合;资产配置;防守;风险管理,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5441838.pdf,no_pdf_review_required_first
S08,资产配置 防守,5324624,南华期货2026年宏观及大类资产配置二季度展望：战略主线锚定下的防守反攻,南华期货,2026/03/30/,https://www.fxbaogao.com/view?id=5324624,yes,20,资产配置;防守,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5324624.pdf,no_pdf_review_required_first
S09,金融工程 红利,5195593,金融工程：AI识图关注通信、红利低波、创业板,广发证券,2025/12/07/,https://www.fxbaogao.com/view?id=5195593,yes,3,低波;低波动;红利,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5195593.pdf,no_pdf_review_required_first
S09,金融工程 红利,5337289,金融工程：AI 识图关注银行、金融、公用事业、红利低波 A 股量化择时研究报告,广发证券,2026/03/29/,https://www.fxbaogao.com/view?id=5337289,yes,4,低波;低波动;红利,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5337289.pdf,no_pdf_review_required_first
S09,金融工程 红利,5544913,金融工程：AI识图关注半导体、能源、红利低波——A股量化择时研究报告,广发证券,2026/07/19/,https://www.fxbaogao.com/view?id=5544913,yes,3,低波;低波动;红利,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5544913.pdf,no_pdf_review_required_first
S09,金融工程 红利,5502069,金融工程点评：中证红利指数资金流向择时模型效果点评,太平洋证券,2026/06/28/,https://www.fxbaogao.com/view?id=5502069,yes,2,回撤;红利,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5502069.pdf,no_pdf_review_required_first
S09,金融工程 红利,5195591,金融工程：AI识图关注中药、银行和红利,广发证券,2025/11/30/,https://www.fxbaogao.com/view?id=5195591,yes,3,红利;股息;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5195591.pdf,no_pdf_review_required_first
S10,ETF 再平衡,5534814,食品饮料行业7月ETF策略：淡季基本面平稳，关注风格再平衡,金融街证券,2026/07/15/,https://www.fxbaogao.com/view?id=5534814,yes,0,,no,not_attempted_paragraph_failed,,no_pdf_review_required_first
S10,ETF 再平衡,5270199,桥水4Q25调仓：攻守再平衡：继续增配宽基ETF和科技，重新配置黄金避险,海通国际,2026/02/15/,https://www.fxbaogao.com/view?id=5270199,yes,5,再平衡;止盈;组合;资产配置,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5270199.pdf,no_pdf_review_required_first
S10,ETF 再平衡,5477573,亚洲投资组合策略：韩国与台湾市场的杠杆放大器——杠杆ETF流动、做市商伽马再平衡与零售保证金动态,高盛,2026/06/14/,https://www.fxbaogao.com/view?id=5477573,yes,14,再平衡;回撤,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5477573.pdf,no_pdf_review_required_first
S10,ETF 再平衡,5545741,股指：宽基ETF流入稳市，双重风险担忧推动再平衡,广发期货,2026/07/20/,https://www.fxbaogao.com/view?id=5545741,yes,4,再平衡;红利;资产配置,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5545741.pdf,no_pdf_review_required_first
