canonical_model_id,comparison_group_id,comparison_allowed,parent_baseline,formal_window,model_layer,return_contract,reason
gas_water_v57b_text_debt_state_guard_v59b,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
gas_water_value_serviceability_v57b,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
highway_dividend_reviewed_operating_v54g,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
highway_dividend_reviewed_operating_v54h_repaired_2021,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
home_appliances_ocf_quality_v5a5c,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
insurance_low_pb_only_v53c,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
insurance_pev_value_v53g,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
internal_subsleeve_mom12_70_30,repaired_baseline_primary_candidate_pair,True,v57f_startup_preload_repaired_baseline,2021-05-01_to_2026-05-31,momentum_overlay,local_daily_series_embedded_or_parent_contract,same_parent_same_window_canonical_pair
oil_gas_state_conditioned_ocf_v58g,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
port_rail_cashflow_value_operating_diagnostic_v55c,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
utilities_demand_state_v51f,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
v57f_startup_preload_repaired_baseline,repaired_baseline_primary_candidate_pair,True,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,v57f_baseline,local_daily_series_embedded_or_parent_contract,same_parent_same_window_canonical_pair
v5c_50w_execution_optimization_test,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,execution_or_platform,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
v5c_defense_overlay_exploration,context_only_not_global_comparison,False,v57f_startup_preload_repaired_baseline,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
v5c_defense_overlay_formal_validation,context_only_not_global_comparison,False,v57f_startup_preload_repaired_baseline,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
v5c_p0_local_data_gate,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
v5c_risk_budget_overlay_engineering_comparison,context_only_not_global_comparison,False,v57f_startup_preload_repaired_baseline,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
v5c_sleeve_weighting_diagnostic,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
v5c_sleeve_weighting_rigorous_test,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
v5c_topx_capital_rigorous_test,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
v5d_l3_intraday_execution_engineering,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,execution_or_platform,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
v5d_minute_execution_robustness,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,execution_or_platform,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
v5d_order_scheduling_engineering_test,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,execution_or_platform,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
