trade_date,factor_visible_date,business_tag_visible_date,external_state_visible_date,universe_visible_date,case,factor,candidate_count,guarded_count,selected_count,used_factors,selected_codes,experiment_layer
2024-01-02,2024-01-02,,2024-01-02,2024-01-02,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,82,82,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,000521.XSHE;600336.XSHG;002614.XSHE;002035.XSHE;000921.XSHE;002668.XSHE;600060.XSHG;603303.XSHG;300625.XSHE;002705.XSHE,engineering_smoke_test
2024-04-01,2024-04-01,,2024-04-01,2024-04-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,84,84,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,600336.XSHG;002614.XSHE;002035.XSHE;000404.XSHE;002668.XSHE;002242.XSHE;300625.XSHE;600690.XSHG;605555.XSHG;000541.XSHE,engineering_smoke_test
2024-07-01,2024-07-01,,2024-07-01,2024-07-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,86,86,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,003023.XSHE;688696.XSHG;603303.XSHG;600983.XSHG;002429.XSHE;002723.XSHE;002035.XSHE;002543.XSHE;688609.XSHG;002242.XSHE,engineering_smoke_test
2024-10-08,2024-10-08,,2024-10-08,2024-10-08,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,95,95,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,000521.XSHE;002723.XSHE;600619.XSHG;601956.XSHG;600336.XSHG;000810.XSHE;600839.XSHG;600261.XSHG;000404.XSHE;002543.XSHE,engineering_smoke_test
2025-01-02,2025-01-02,,2025-01-02,2025-01-02,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,95,95,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,600619.XSHG;002614.XSHE;600060.XSHG;000921.XSHE;601956.XSHG;000404.XSHE;000333.XSHE;001268.XSHE;600839.XSHG;002705.XSHE,engineering_smoke_test
2025-04-01,2025-04-01,,2025-04-01,2025-04-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,95,95,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,600619.XSHG;603303.XSHG;002668.XSHE;000404.XSHE;600690.XSHG;601956.XSHG;002614.XSHE;002705.XSHE;600839.XSHG;001268.XSHE,engineering_smoke_test
2025-07-01,2025-07-01,,2025-07-01,2025-07-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,95,95,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,603578.XSHG;301332.XSHE;603303.XSHG;600983.XSHG;003023.XSHE;000651.XSHE;300543.XSHE;002959.XSHE;002668.XSHE;600060.XSHG,engineering_smoke_test
2025-10-09,2025-10-09,,2025-10-09,2025-10-09,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,94,94,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,000521.XSHE;000921.XSHE;600839.XSHG;000404.XSHE;000651.XSHE;002668.XSHE;601956.XSHG;001387.XSHE;603578.XSHG;301135.XSHE,engineering_smoke_test
2026-01-05,2026-01-05,,2026-01-05,2026-01-05,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,94,94,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,002705.XSHE;000651.XSHE;600060.XSHG;688609.XSHG;000921.XSHE;002668.XSHE;600839.XSHG;603303.XSHG;601956.XSHG;000404.XSHE,engineering_smoke_test
2026-04-01,2026-04-01,,2026-04-01,2026-04-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,94,94,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,688696.XSHG;002705.XSHE;000651.XSHE;002668.XSHE;688609.XSHG;603303.XSHG;600839.XSHG;601956.XSHG;600690.XSHG;000404.XSHE,engineering_smoke_test
