trade_date,code,amount,net_cash_per_share,dividend_cash
2024-06-28,601816.XSHG,22300,0.08928,1990.944
2024-07-05,600908.XSHG,22800,0.16,3648.0
2024-07-05,600795.XSHG,17100,0.056,957.6
2024-07-10,601169.XSHG,20700,0.256,5299.2
2024-07-11,600011.XSHG,10500,0.16,1680.0
2024-07-12,601939.XSHG,16300,0.32,5216.0
2024-07-15,000429.XSHE,11500,0.4376,5032.4
2024-07-16,601398.XSHG,21200,0.24512,5196.544
2024-07-17,601326.XSHG,37900,0.0664,2516.56
2024-07-18,600000.XSHG,14700,0.2568,3774.9599999999996
2024-07-26,600377.XSHG,9500,0.376,3572.0
2024-08-08,000883.XSHE,17000,0.072,1224.0
2024-08-23,601991.XSHG,33900,0.006,203.4
2024-10-21,000905.XSHE,19500,0.0424,826.8
2024-10-25,600681.XSHG,33800,0.072,2433.6
2024-10-31,600795.XSHG,22800,0.072,1641.6
2024-12-20,600033.XSHG,33300,0.04,1332.0
2025-01-22,601818.XSHG,33600,0.0832,2795.52
2025-04-25,601988.XSHG,23000,0.09728,2237.44
2025-04-30,002807.XSHE,29100,0.16,4656.0
2025-05-09,601008.XSHG,33400,0.048,1603.2
2025-05-14,000828.XSHE,12800,0.26,3328.0
2025-05-16,601018.XSHG,34500,0.0864,2980.8
2025-05-29,000900.XSHE,31100,0.12,3732.0
2025-06-04,000791.XSHE,19200,0.144,2764.7999999999997
2025-06-05,002966.XSHE,16300,0.16,2608.0
2025-06-06,601997.XSHG,21900,0.232,5080.8
2025-06-13,600017.XSHG,41800,0.0688,2875.84
2025-06-16,000905.XSHE,17000,0.044,748.0
2025-06-19,600717.XSHG,27200,0.0832,2263.04
2025-06-25,000543.XSHE,17200,0.2552,4389.44
2025-06-27,601825.XSHG,15400,0.1544,2377.76
2025-06-27,002039.XSHE,7700,0.048,369.6
2025-06-27,600098.XSHG,20100,0.216,4341.6
2025-06-27,600035.XSHG,29500,0.136,4012.0000000000005
2025-07-04,600908.XSHG,22700,0.176,3995.2
2025-07-10,600011.XSHG,20000,0.216,4320.0
2025-07-10,600795.XSHG,29400,0.088,2587.2
2025-07-11,600033.XSHG,40600,0.04,1624.0
2025-07-14,601398.XSHG,18900,0.13168,2488.752
2025-07-14,600027.XSHG,26100,0.104,2714.4
2025-07-14,000429.XSHE,10700,0.4184,4476.88
2025-07-15,600020.XSHG,30100,0.136,4093.6000000000004
2025-07-17,600018.XSHG,21200,0.116,2459.2000000000003
2025-07-18,601326.XSHG,37600,0.068,2556.8
2025-07-30,600377.XSHG,9300,0.392,3645.6000000000004
2025-08-05,600350.XSHG,13500,0.336,4536.0
2025-08-08,601228.XSHG,37500,0.0312,1170.0
2025-08-15,601333.XSHG,42000,0.056,2352.0
2025-08-22,601991.XSHG,45200,0.04968,2245.536
2025-10-15,000001.XSHE,12900,0.1888,2435.52
2025-10-15,002839.XSHE,34100,0.08,2728.0
2025-10-16,600803.XSHG,8100,0.144,1166.3999999999999
2025-10-24,601018.XSHG,34200,0.024,820.8000000000001
2025-10-29,600795.XSHG,29100,0.08,2328.0
2025-10-29,603689.XSHG,17100,0.04,684.0
2025-10-31,600017.XSHG,40500,0.0264,1069.2
2025-11-12,600027.XSHG,28600,0.072,2059.2
2025-11-25,600908.XSHG,24900,0.088,2191.2
2025-12-03,002807.XSHE,33200,0.08,2656.0
2025-12-15,601398.XSHG,20200,0.11312,2285.024
2025-12-31,600033.XSHG,44400,0.04,1776.0
2026-01-13,600018.XSHG,27700,0.04,1108.0
2026-02-05,601860.XSHG,54900,0.04,2196.0
2026-05-12,601528.XSHG,28600,0.168,4804.8
2026-05-19,000828.XSHE,15100,0.26,3926.0
2026-05-29,002039.XSHE,6900,0.312,2152.8
