trade_date,code,amount,net_cash_per_share,dividend_cash
2024-08-23,601991.XSHG,36900,0.006,221.4
2024-10-21,000905.XSHE,18800,0.0424,797.12
2024-10-25,600681.XSHG,33100,0.072,2383.2
2024-10-31,600795.XSHG,23200,0.072,1670.3999999999999
2024-12-20,600033.XSHG,33300,0.04,1332.0
2025-01-22,601818.XSHG,33100,0.0832,2753.92
2025-04-25,601988.XSHG,23100,0.09728,2247.168
2025-04-30,002807.XSHE,28700,0.16,4592.0
2025-05-09,601008.XSHG,32700,0.048,1569.6000000000001
2025-05-14,000828.XSHE,12400,0.26,3224.0
2025-05-16,601018.XSHG,34200,0.0864,2954.88
2025-05-29,000900.XSHE,30200,0.12,3624.0
2025-06-04,000791.XSHE,18400,0.144,2649.6
2025-06-05,002966.XSHE,16000,0.16,2560.0
2025-06-06,601997.XSHG,21600,0.232,5011.2
2025-06-13,600017.XSHG,41200,0.0688,2834.56
2025-06-16,000905.XSHE,16500,0.044,726.0
2025-06-19,600717.XSHG,26700,0.0832,2221.44
2025-06-25,000543.XSHE,16500,0.2552,4210.799999999999
2025-06-27,601825.XSHG,15000,0.1544,2316.0
2025-06-27,002039.XSHE,7800,0.048,374.40000000000003
2025-06-27,600098.XSHG,19600,0.216,4233.6
2025-06-27,600035.XSHG,28700,0.136,3903.2000000000003
2025-07-04,600908.XSHG,21200,0.176,3731.2
2025-07-10,600011.XSHG,19000,0.216,4104.0
2025-07-10,600795.XSHG,27200,0.088,2393.6
2025-07-11,600033.XSHG,38400,0.04,1536.0
2025-07-14,601398.XSHG,17700,0.13168,2330.736
2025-07-14,600027.XSHG,24700,0.104,2568.7999999999997
2025-07-14,000429.XSHE,10100,0.4184,4225.84
2025-07-15,600020.XSHG,28100,0.136,3821.6000000000004
2025-07-17,600018.XSHG,23700,0.116,2749.2000000000003
2025-07-18,601326.XSHG,41900,0.068,2849.2000000000003
2025-07-30,600377.XSHG,8800,0.392,3449.6
2025-08-05,600350.XSHG,12700,0.336,4267.2
2025-08-08,601228.XSHG,41700,0.0312,1301.04
2025-08-15,601333.XSHG,47200,0.056,2643.2000000000003
2025-08-22,601991.XSHG,41400,0.04968,2056.752
2025-10-15,000001.XSHE,12200,0.1888,2303.36
2025-10-15,002839.XSHE,32200,0.08,2576.0
2025-10-16,600803.XSHG,7500,0.144,1080.0
2025-10-24,601018.XSHG,37900,0.024,909.6
2025-10-29,600795.XSHG,26900,0.08,2152.0
2025-10-29,603689.XSHG,16300,0.04,652.0
2025-10-31,600017.XSHG,45000,0.0264,1188.0
2025-11-12,600027.XSHG,26600,0.072,1915.1999999999998
2025-11-25,600908.XSHG,23600,0.088,2076.7999999999997
2025-12-03,002807.XSHE,31400,0.08,2512.0
2025-12-15,601398.XSHG,19000,0.11312,2149.2799999999997
2025-12-31,600033.XSHG,41200,0.04,1648.0
2026-01-13,600018.XSHG,26100,0.04,1044.0
2026-02-05,601860.XSHG,51100,0.04,2044.0
2026-05-12,601528.XSHG,26600,0.168,4468.8
2026-05-19,000828.XSHE,14200,0.26,3692.0
2026-05-29,002039.XSHE,7700,0.312,2402.4
