canonical_model_id,execution_evidence_type,source,status
insurance_low_pb_solvency_guard_v53e,not_available,not_available,local_historical_series_or_unavailable
insurance_pev_nbv_v53f_diagnostic,not_available,not_available,local_historical_series_or_unavailable
insurance_pev_value_v53g,local_price_or_nav_series,local_daily_backtests_insurance_v53g\insurance_pev_value_v53g\daily_returns.csv,local_historical_series_or_unavailable
insurance_value_investment_solvency_v53d,not_available,not_available,local_historical_series_or_unavailable
insurance_value_quality_v53_test1,not_available,not_available,local_historical_series_or_unavailable
internal_subsleeve_mom12_70_30,local_price_or_nav_series,v5f_structural_rough_screen\current\v5f_structural_rough_screen_daily_returns.csv,local_historical_series_or_unavailable
locked_pool_monthly_mom12_70_30,not_available,not_available,local_historical_series_or_unavailable
mr_borrow_paired_drop_spike_net0_cap10_next2,not_available,not_available,local_historical_series_or_unavailable
oil_gas_ocf_dividend_cycle_probe_v58a,not_available,not_available,local_historical_series_or_unavailable
oil_gas_ocf_low_vol_value_v58b,not_available,not_available,local_historical_series_or_unavailable
oil_gas_state_conditioned_ocf_v58d,not_available,not_available,local_historical_series_or_unavailable
oil_gas_state_conditioned_ocf_v58g,local_price_or_nav_series,validation_daily_v58g_oil_gas\oil_gas_state_conditioned_ocf_v58g\daily_returns.csv,local_historical_series_or_unavailable
port_rail_cashflow_dividend_v55a,not_available,not_available,local_historical_series_or_unavailable
port_rail_cashflow_operating_state_v55b,not_available,not_available,local_historical_series_or_unavailable
port_rail_cashflow_value_operating_diagnostic_v55c,local_price_or_nav_series,local_daily_backtests_port_rail_v55c\port_rail_cashflow_value_operating_diagnostic_v55c\daily_returns.csv,local_historical_series_or_unavailable
port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021,local_price_or_nav_series,local_daily_backtests_port_rail_v55g_repaired_2021\port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021\daily_returns.csv,local_historical_series_or_unavailable
port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate,local_price_or_nav_series,local_daily_backtests_port_rail_v55i_business_purity_gate\port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate\daily_returns.csv,local_historical_series_or_unavailable
port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources,local_price_or_nav_series,local_daily_backtests_port_rail_v55j_reviewed_business_sources\port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources\daily_returns.csv,local_historical_series_or_unavailable
pressure_positive_1000_else_1400_buy,not_available,not_available,local_historical_series_or_unavailable
telecom_operators_cashflow_dividend_v55a,not_available,not_available,local_historical_series_or_unavailable
utilities_cashflow_value_v51b,not_available,not_available,local_historical_series_or_unavailable
utilities_conditional_low_pb_cashflow_v51d,not_available,not_available,local_historical_series_or_unavailable
utilities_demand_state_v51f,local_price_or_nav_series,local_daily_backtests_utilities_v51f\utilities_demand_state_v51f\daily_returns.csv,local_historical_series_or_unavailable
utilities_low_pb_cashflow_v51c,not_available,not_available,local_historical_series_or_unavailable
utilities_value_quality_v51,not_available,not_available,local_historical_series_or_unavailable
v4_bank_candidate1,not_available,not_available,local_historical_series_or_unavailable
v57f_startup_preload_repaired_baseline,local_price_or_nav_series,v5f_structural_rough_screen\current\v5f_structural_rough_screen_daily_returns.csv,local_historical_series_or_unavailable
v5b_etf_holdings_reference_audit,not_available,not_available,local_historical_series_or_unavailable
v5b_etf_pit_sector_gate_audit,not_available,not_available,local_historical_series_or_unavailable
v5b_forward_paper_handoff,not_available,not_available,local_historical_series_or_unavailable
v5b_no_jq_1234_execution,not_available,not_available,local_historical_series_or_unavailable
v5b_no_jq_next_actions,not_available,not_available,local_historical_series_or_unavailable
v5b_no_jq_sleeve_promotion,not_available,not_available,local_historical_series_or_unavailable
v5b_non_core_sector_disposition,not_available,not_available,local_historical_series_or_unavailable
v5b_non_core_sector_queue_execution,not_available,not_available,local_historical_series_or_unavailable
v5b_telecom_sidecar_attribution,not_available,not_available,local_historical_series_or_unavailable
v5b_telecom_specialist_policy,not_available,not_available,local_historical_series_or_unavailable
v5b_three_track_execution,not_available,not_available,local_historical_series_or_unavailable
v5b_three_track_execution_plan,not_available,not_available,local_historical_series_or_unavailable
v5c_50w_execution_micro_audit,not_available,not_available,local_historical_series_or_unavailable
v5c_50w_execution_optimization_test,local_price_or_nav_series,v5c_50w_execution_optimization_test\runs\top7_50w_retry_3d\daily_returns.csv,local_historical_series_or_unavailable
v5c_bank_power_dedicated_book_card_collection,not_available,not_available,local_historical_series_or_unavailable
v5c_bank_power_financial_report_batch_extraction,not_available,not_available,local_historical_series_or_unavailable
v5c_bank_power_financial_report_data_gate,not_available,not_available,local_historical_series_or_unavailable
v5c_bank_power_financial_report_pit_panel,local_price_or_nav_series,v5c_bank_power_financial_report_pit_panel\current\v5c_bank_power_financial_report_factor_daily_returns.csv,local_historical_series_or_unavailable
v5c_bank_power_industry_factor_weight_test,local_price_or_nav_series,v5c_bank_power_industry_factor_weight_test\current\v5c_bank_power_industry_factor_daily_returns.csv,local_historical_series_or_unavailable
v5c_bank_power_single_factor_cross_section_test,local_price_or_nav_series,v5c_bank_power_single_factor_cross_section_test\current\v5c_bank_power_single_factor_daily_returns.csv,local_historical_series_or_unavailable
v5c_bank_power_v5f_attribution,not_available,not_available,local_historical_series_or_unavailable
v5c_bank_special_mention_pre2021_train_test,not_available,not_available,local_historical_series_or_unavailable
v5c_closeout,not_available,not_available,local_historical_series_or_unavailable
v5c_closeout_defense_addendum,not_available,not_available,local_historical_series_or_unavailable
v5c_continuation_decision,not_available,not_available,local_historical_series_or_unavailable
v5c_core_infra_cashflow_field_repair,not_available,not_available,local_historical_series_or_unavailable
v5c_cross_sector_pre2021_factor_screen,not_available,not_available,local_historical_series_or_unavailable
v5c_cycle_sector_data_gate_queue,not_available,not_available,local_historical_series_or_unavailable
v5c_defense_overlay_exploration,local_price_or_nav_series,v5c_defense_overlay_exploration\runs\v5c_defense_equal_reference\daily_returns.csv,local_historical_series_or_unavailable
v5c_defense_overlay_formal_validation,local_price_or_nav_series,v5c_defense_overlay_formal_validation\current\reproducibility_rerun\v5c_defense_erc_weak_portfolio_equal_fallback_63d\daily_returns.csv,local_historical_series_or_unavailable
v5c_defense_overlay_pm_quant_review,not_available,not_available,local_historical_series_or_unavailable
v5c_erc_formal_validation,not_available,not_available,local_historical_series_or_unavailable
v5c_erc_forward_paper_tracking,not_available,not_available,local_historical_series_or_unavailable
v5c_erc_pm_quant_review,not_available,not_available,local_historical_series_or_unavailable
v5c_final_archive,not_available,not_available,local_historical_series_or_unavailable
v5c_financial_statement_expectation_layer,not_available,not_available,local_historical_series_or_unavailable
v5c_fixed_rule_risk_budget_spec,not_available,not_available,local_historical_series_or_unavailable
v5c_forward_financial_statement_tracking,not_available,not_available,local_historical_series_or_unavailable
v5c_highway_capex_fcf_small_original_page_review,not_available,not_available,local_historical_series_or_unavailable
v5c_highway_ocf_risk_cap_rule_freeze,not_available,not_available,local_historical_series_or_unavailable
v5c_highway_ocf_risk_cap_v1_limited_engineering,local_price_or_nav_series,v5c_highway_ocf_risk_cap_v1_limited_engineering\current\v5c_highway_ocf_risk_cap_daily_returns.csv,local_historical_series_or_unavailable
v5c_industry_knowledge_base_bank_power_p0,not_available,not_available,local_historical_series_or_unavailable
v5c_infra_capex_original_statement_extraction,not_available,not_available,local_historical_series_or_unavailable
v5c_infra_ocf_quality_fixed_rule_quant_spec,not_available,not_available,local_historical_series_or_unavailable
v5c_key_metric_confidence_tilt_overlay,local_price_or_nav_series,v5c_key_metric_confidence_tilt_overlay\current\v5c_key_metric_confidence_tilt_daily_returns.csv,local_historical_series_or_unavailable
v5c_key_weight_metric_prediction,not_available,not_available,local_historical_series_or_unavailable
v5c_low_capital_version_handoff,not_available,not_available,local_historical_series_or_unavailable
v5c_overheat_no_new_overweight_limited_engineering,local_price_or_nav_series,v5c_overheat_no_new_overweight_limited_engineering\current\v5c_overheat_no_new_overweight_daily_returns.csv,local_historical_series_or_unavailable
v5c_overheat_overlay_pm_quant_spec,not_available,not_available,local_historical_series_or_unavailable
v5c_overlay_engineering_comparison,local_price_or_nav_series,v5c_overlay_engineering_comparison\current\v5c_overlay_engineering_daily_nav.csv,local_historical_series_or_unavailable
v5c_overlay_hypothesis_admission,not_available,not_available,local_historical_series_or_unavailable
v5c_overlay_quant_spec,not_available,not_available,local_historical_series_or_unavailable
v5c_p0_local_data_gate,local_price_or_nav_series,v5c_p0_local_data_gate\current\v5c_p0_daily_nav_returns.csv,local_historical_series_or_unavailable
v5c_p1_financial_quality_pit_panel,not_available,not_available,local_historical_series_or_unavailable
v5c_p2_valuation_and_crowding_state_panel,not_available,not_available,local_historical_series_or_unavailable
v5c_p3_state_governance_quant_spec,not_available,not_available,local_historical_series_or_unavailable
v5c_p4_state_forward_observation_packet,not_available,not_available,local_historical_series_or_unavailable
v5c_power_specialist_combo_deep_dive,local_price_or_nav_series,v5c_power_specialist_combo_deep_dive\current\v5c_power_combo_formal_daily_returns.csv,local_historical_series_or_unavailable
v5c_profit_taking_overheat_overlay,local_price_or_nav_series,v5c_profit_taking_overheat_overlay\current\v5c_profit_taking_overheat_daily_nav.csv,local_historical_series_or_unavailable
v5c_risk_budget_overlay_engineering_comparison,local_price_or_nav_series,v5c_risk_budget_overlay_engineering_comparison\runs\v5c_risk_budget_equal_reference\daily_returns.csv,local_historical_series_or_unavailable
v5c_sidecar_observation_enhancement,not_available,not_available,local_historical_series_or_unavailable
v5c_sleeve_level_risk_attribution,local_price_or_nav_series,v5c_sleeve_level_risk_attribution\current\v57f_core_sleeve_daily_returns.csv,local_historical_series_or_unavailable
v5c_sleeve_weighting_diagnostic,local_price_or_nav_series,v5c_sleeve_weighting_diagnostic\current\v5c_sleeve_weighting_daily_nav.csv,local_historical_series_or_unavailable
v5c_sleeve_weighting_rigorous_test,local_price_or_nav_series,v5c_sleeve_weighting_rigorous_test\runs\v5c_equal_25_each_rigorous_open_execution\daily_returns.csv,local_historical_series_or_unavailable
v5c_topx_capital_rigorous_test,local_price_or_nav_series,v5c_topx_capital_rigorous_test\runs\v5c_top3_per_sleeve_capital_50w_open_execution\daily_returns.csv,local_historical_series_or_unavailable
v5d_baostock_5min_data_gate,not_available,not_available,local_historical_series_or_unavailable
v5d_closeout,not_available,not_available,local_historical_series_or_unavailable
v5d_free_minute_source_audit,not_available,not_available,local_historical_series_or_unavailable
v5d_l2_conservative_slippage_spec,not_available,not_available,local_historical_series_or_unavailable
v5d_l2_execution_cost_broker_paper_review,not_available,not_available,local_historical_series_or_unavailable
v5d_l2_liquidity_instant_fill_review,not_available,not_available,local_historical_series_or_unavailable
v5d_l2_order_scheduling_pm_quant_review,not_available,not_available,local_historical_series_or_unavailable
v5d_l3_1_unfilled_remediation,not_available,not_available,local_historical_series_or_unavailable
v5d_l3_intraday_execution_engineering,local_price_or_nav_series,v5d_l3_intraday_execution_engineering\current\runs\v57f_frozen\l3_default_exception\daily_returns.csv,local_historical_series_or_unavailable
v5d_l3_intraday_execution_policy_spec,not_available,not_available,local_historical_series_or_unavailable
v5d_l3_pm_quant_review,not_available,not_available,local_historical_series_or_unavailable
v5d_l4_rebalance_neighborhood_order_completion,local_price_or_nav_series,v5d_l4_rebalance_neighborhood_order_completion\current\runs\v57f_frozen\l4_d0_d1_completion\daily_returns.csv,local_historical_series_or_unavailable
v5d_minute_execution_audit,not_available,not_available,local_historical_series_or_unavailable
v5d_minute_execution_robustness,local_price_or_nav_series,v5d_minute_execution_robustness\current\runs\v57f_frozen\bar_0935\daily_returns.csv,local_historical_series_or_unavailable
v5d_order_scheduling_engineering_test,local_price_or_nav_series,v5d_order_scheduling_engineering_test\current\runs\v57f_frozen\l2_size_aware\daily_returns.csv,local_historical_series_or_unavailable
v5d_order_scheduling_policy_spec,not_available,not_available,local_historical_series_or_unavailable
v5d_yixin_api_capability_probe,not_available,not_available,local_historical_series_or_unavailable
v5e_511360_cash_proxy_forward_stress_packet,not_available,not_available,local_historical_series_or_unavailable
v5e_511360_cash_proxy_limited_engineering,local_price_or_nav_series,v5e_511360_cash_proxy_limited_engineering\current\v5e_511360_cash_proxy_daily_returns.csv,local_historical_series_or_unavailable
v5e_511360_cash_proxy_limited_engineering_spec,not_available,not_available,local_historical_series_or_unavailable
v5e_511360_cash_proxy_pm_quant_review,not_available,not_available,local_historical_series_or_unavailable
v5e_511360_forward_paper_tracking,not_available,not_available,local_historical_series_or_unavailable
v5e_511360_pit_data_audit,not_available,not_available,local_historical_series_or_unavailable
v5e_capital_sensitivity_test,local_price_or_nav_series,v5e_capital_sensitivity_test\current\runs\50w\v57f_repaired_baseline\daily_returns.csv,local_historical_series_or_unavailable
v5e_cash_drag_robustness_packet,not_available,not_available,local_historical_series_or_unavailable
v5e_cash_policy_review,not_available,not_available,local_historical_series_or_unavailable
v5e_cash_proxy_asset_data_gate,not_available,not_available,local_historical_series_or_unavailable
v5e_daily_momentum_diagnostic_addendum,local_price_or_nav_series,v5e_daily_momentum_diagnostic_addendum\current\v5e_daily_momentum_nav_proxy_comparison.csv,local_historical_series_or_unavailable
v5e_formal_validation_forward_packet,not_available,not_available,local_historical_series_or_unavailable
v5e_forward_paper_continuation_v5f_prep,not_available,not_available,local_historical_series_or_unavailable
v5e_forward_paper_daily_packet,not_available,not_available,local_historical_series_or_unavailable
v5e_full_holding_5min_data_gate,not_available,not_available,local_historical_series_or_unavailable
v5e_full_holding_5min_momentum_research,not_available,not_available,local_historical_series_or_unavailable
v5e_full_holding_rolling_intraday_research,not_available,not_available,local_historical_series_or_unavailable
v5e_full_intraday_nav_engineering_test,local_price_or_nav_series,v5e_full_intraday_nav_engineering_test\current\runs\v57f_repaired_baseline\daily_returns.csv,local_historical_series_or_unavailable
v5e_historical_closeout_governance_packet,not_available,not_available,local_historical_series_or_unavailable
v5e_holding_period_exit_pm_review,not_available,not_available,local_historical_series_or_unavailable
v5e_limited_engineering_loop,local_price_or_nav_series,v5e_limited_engineering_loop\current\runs\v57f_repaired_baseline\daily_returns.csv,local_historical_series_or_unavailable
v5e_long_horizon_momentum_diagnostic,not_available,not_available,local_historical_series_or_unavailable
v5e_momentum_addenda_closeout_packet,not_available,not_available,local_historical_series_or_unavailable
v5e_pm_quant_formal_review,not_available,not_available,local_historical_series_or_unavailable
v5e_post_exit_5min_monitoring_audit_packet,not_available,not_available,local_historical_series_or_unavailable
v5e_post_exit_5min_monitoring_data_gate,not_available,not_available,local_historical_series_or_unavailable
v5e_profit_lock_execution_robust_formal_review,not_available,not_available,local_historical_series_or_unavailable
v5e_profit_lock_main_20pct_sell50,local_price_or_nav_series,v5e_limited_engineering_loop\current\runs\v5e_profit_lock_main_20pct_sell50\daily_returns.csv,local_historical_series_or_unavailable
v5e_profit_lock_main_forward_paper_execution_tracking,not_available,not_available,local_historical_series_or_unavailable
v5e_profit_lock_model_comparison,not_available,not_available,local_historical_series_or_unavailable
v5e_quant_spec_single_name_exit,not_available,not_available,local_historical_series_or_unavailable
v5e_reasonable_momentum_range_test,not_available,not_available,local_historical_series_or_unavailable
v5e_short_financing_etf_cash_proxy_selection_gate,not_available,not_available,local_historical_series_or_unavailable
v5e_sleeve_cash_bucket_engineering,not_available,not_available,local_historical_series_or_unavailable
v5e_sleeve_cash_policy_quant_spec,not_available,not_available,local_historical_series_or_unavailable
v5e_sleeve_level_risk_release_limited_engineering,local_price_or_nav_series,v5e_sleeve_level_risk_release_limited_engineering\current\v5e_sleeve_level_release_daily_returns.csv,local_historical_series_or_unavailable
v5e_sleeve_level_risk_release_pm_spec,not_available,not_available,local_historical_series_or_unavailable
v5e_sleeve_level_risk_release_quant_spec,not_available,not_available,local_historical_series_or_unavailable
v5e_trigger_day_5min_execution_data_gate,not_available,not_available,local_historical_series_or_unavailable
v5e_trigger_day_5min_execution_proxy_test,not_available,not_available,local_historical_series_or_unavailable
v5f_1min_forward_observation_append,not_available,not_available,local_historical_series_or_unavailable
v5f_1min_intraday_relative_zone_timing_test,not_available,not_available,local_historical_series_or_unavailable
v5f_1min_microstructure_signal_quality_gate,not_available,not_available,local_historical_series_or_unavailable
v5f_1min_queue_123_execution,not_available,not_available,local_historical_series_or_unavailable
v5f_1min_vwap_execution_precision_audit,not_available,not_available,local_historical_series_or_unavailable
v5f_adaptive_momentum_governance,local_price_or_nav_series,v5f_adaptive_momentum_governance\current\v5f_adaptive_momentum_daily_returns.csv,local_historical_series_or_unavailable
v5f_backtest_scope_governance_correction,not_available,not_available,local_historical_series_or_unavailable
v5f_clean_forward_target_population,not_available,not_available,local_historical_series_or_unavailable
v5f_deployment_governance_paper_workflow,not_available,not_available,local_historical_series_or_unavailable
v5f_event_triggered_mean_reversion_borrowing_test,local_price_or_nav_series,v5f_event_triggered_mean_reversion_borrowing_test\current\v5f_mr_borrowing_daily_returns.csv,local_historical_series_or_unavailable
v5f_extreme_value_reversion,local_price_or_nav_series,v5f_extreme_value_reversion\current\v5f_extreme_value_reversion_daily_returns.csv,local_historical_series_or_unavailable
v5f_forward_continuation_v5g01_closeout,not_available,not_available,local_historical_series_or_unavailable
v5f_forward_paper_tracking_with_v5c_state_tags,not_available,not_available,local_historical_series_or_unavailable
v5f_forward_paper_v5c_state_tags,not_available,not_available,local_historical_series_or_unavailable
v5f_improvement_queue_execution,not_available,not_available,local_historical_series_or_unavailable
v5f_internal_subsleeve_candidate_replacement_packet,not_available,not_available,local_historical_series_or_unavailable
v5f_internal_subsleeve_deep_engineering,not_available,not_available,local_historical_series_or_unavailable
v5f_internal_subsleeve_deep_research_spec,not_available,not_available,local_historical_series_or_unavailable
v5f_internal_subsleeve_deployment_governance,not_available,not_available,local_historical_series_or_unavailable
v5f_internal_subsleeve_forward_paper_tracking,not_available,not_available,local_historical_series_or_unavailable
v5f_internal_subsleeve_pm_quant_review,not_available,not_available,local_historical_series_or_unavailable
v5f_internal_subsleeve_queue_123_execution,not_available,not_available,local_historical_series_or_unavailable
v5f_internal_subsleeve_robustness_packet,not_available,not_available,local_historical_series_or_unavailable
v5f_joinquant_export_checklist,not_available,not_available,local_historical_series_or_unavailable
v5f_joinquant_now_execution,not_available,not_available,local_historical_series_or_unavailable
v5f_joinquant_platform_attribution,not_available,not_available,local_historical_series_or_unavailable
v5f_joinquant_platform_forward_handoff,not_available,not_available,local_historical_series_or_unavailable
v5f_local_1min_data_package_audit,not_available,not_available,local_historical_series_or_unavailable
v5f_locked_pool_conditional_momentum,local_price_or_nav_series,v5f_locked_pool_conditional_momentum\current\v5f_locked_pool_conditional_momentum_daily_returns.csv,local_historical_series_or_unavailable
v5f_locked_pool_daily_momentum_governance,local_price_or_nav_series,v5f_locked_pool_daily_momentum_governance\current\v5f_locked_pool_daily_momentum_daily_returns.csv,local_historical_series_or_unavailable
v5f_mean_reversion_diagnostic,local_price_or_nav_series,v5f_mean_reversion_diagnostic\current\v5f_mean_reversion_daily_returns.csv,local_historical_series_or_unavailable
v5f_model_comparison_progress,not_available,not_available,local_historical_series_or_unavailable
v5f_momentum_weight_tilt_backtest_scope,not_available,not_available,local_historical_series_or_unavailable
v5f_momentum_weight_tilt_forward_paper_tracking,not_available,not_available,local_historical_series_or_unavailable
v5f_momentum_weight_tilt_limited_engineering,local_price_or_nav_series,v5f_momentum_weight_tilt_limited_engineering\current\v5f_momentum_weight_tilt_daily_returns.csv,local_historical_series_or_unavailable
v5f_momentum_weight_tilt_pm_quant_review,not_available,not_available,local_historical_series_or_unavailable
v5f_momentum_weight_tilt_quant_spec,not_available,not_available,local_historical_series_or_unavailable
v5f_needed_model_full_comparison,not_available,not_available,local_historical_series_or_unavailable
v5f_overlay_deployment_governance_review,not_available,not_available,local_historical_series_or_unavailable
v5f_paper_workflow_artifacts,not_available,not_available,local_historical_series_or_unavailable
v5f_physics_curve_diagnostic_spec,not_available,not_available,local_historical_series_or_unavailable
v5f_physics_curve_full_5min_diagnostic,not_available,not_available,local_historical_series_or_unavailable
v5f_pre2021_5min_blocker_completion,not_available,not_available,local_historical_series_or_unavailable
v5f_pre2021_factor_panel_repair,not_available,not_available,local_historical_series_or_unavailable
v5f_pre2021_multisleeve_mainline_validation,local_price_or_nav_series,v5f_pre2021_multisleeve_mainline_validation\current\v5f_pre2021_p1_daily_returns.csv,local_historical_series_or_unavailable
v5f_pre2021_repaired_multisleeve_data_gate,not_available,not_available,local_historical_series_or_unavailable
v5f_prebacktest_5min_to_backtest,not_available,not_available,local_historical_series_or_unavailable
v5f_prejq_local_closeout,not_available,not_available,local_historical_series_or_unavailable
v5f_prejq_v5c_v5g_integration,not_available,not_available,local_historical_series_or_unavailable
v5f_progress_checkpoint,not_available,not_available,local_historical_series_or_unavailable
v5f_quality_value_mean_reversion,local_price_or_nav_series,v5f_quality_value_mean_reversion\current\v5f_qv_mean_reversion_daily_returns.csv,local_historical_series_or_unavailable
v5f_repaired_baseline_overlay_comparison,not_available,not_available,local_historical_series_or_unavailable
v5f_repaired_overlay_forward_paper_tracking,not_available,not_available,local_historical_series_or_unavailable
v5f_short_window_reversion_diagnostic,not_available,not_available,local_historical_series_or_unavailable
v5f_short_window_reversion_nav_engineering,local_price_or_nav_series,v5f_short_window_reversion_nav_engineering\current\v5f_short_window_reversion_nav_daily_returns.csv,local_historical_series_or_unavailable
v5f_short_window_reversion_walk_forward_robustness,not_available,not_available,local_historical_series_or_unavailable
v5f_short_window_spike_reversion_symmetry,local_price_or_nav_series,v5f_short_window_spike_reversion_symmetry\current\v5f_short_window_spike_reversion_daily_returns.csv,local_historical_series_or_unavailable
v5f_spike_funded_mr_borrowing_forward_observation,not_available,not_available,local_historical_series_or_unavailable
v5f_spike_funded_mr_borrowing_independent_validation_gate,not_available,not_available,local_historical_series_or_unavailable
v5f_spike_mr_prebacktest_to_backtest_jq_sim,not_available,not_available,local_historical_series_or_unavailable
v5f_spike_mr_signal_quality_filter_spec,not_available,not_available,local_historical_series_or_unavailable
v5f_spike_mr_sleeve_threshold_effectiveness_audit,not_available,not_available,local_historical_series_or_unavailable
v5f_structural_rough_screen,local_price_or_nav_series,v5f_structural_rough_screen\current\v5f_structural_rough_screen_daily_returns.csv,local_historical_series_or_unavailable
v5f_v57f_qv_mr_combination,local_price_or_nav_series,v5f_v57f_qv_mr_combination\current\v5f_v57f_qv_mr_combination_daily_returns.csv,local_historical_series_or_unavailable
v5f_value_momentum_reversion_balance_test,local_price_or_nav_series,v5f_value_momentum_reversion_balance_test\current\v5f_vmr_balance_daily_returns.csv,local_historical_series_or_unavailable
v5g_01_state_gated_internal_subsleeve_limited_engineering,local_price_or_nav_series,v5g_01_state_gated_internal_subsleeve_limited_engineering\current\v5g_01_state_gated_engineering_daily_returns.csv,local_historical_series_or_unavailable
