trade_date,code,amount,net_cash_per_share,dividend_cash
2023-07-06,600908.XSHG,18300,0.16,2928.0
2023-07-13,601006.XSHG,13100,0.384,5030.400000000001
2023-07-14,002267.XSHE,12300,0.24,2952.0
2023-07-14,601985.XSHG,13800,0.136,1876.8000000000002
2023-07-14,000429.XSHE,12500,0.3424,4280.0
2023-07-19,600012.XSHG,9400,0.44,4136.0
2023-07-26,600377.XSHG,9900,0.368,3643.2
2023-07-28,600033.XSHG,31400,0.12,3768.0
2023-08-11,600018.XSHG,18600,0.112,2083.2
2023-08-16,000883.XSHE,21300,0.048,1022.4
2024-05-10,002807.XSHE,27500,0.152,4180.0
2024-05-14,000690.XSHE,20700,0.24,4968.0
2024-05-15,600018.XSHG,19200,0.1376,2641.92
2024-05-28,600020.XSHG,27800,0.1192,3313.76
2024-06-07,603323.XSHG,23000,0.144,3311.9999999999995
2024-06-07,600035.XSHG,24000,0.152,3648.0
2024-06-13,000900.XSHE,27300,0.12,3276.0
2024-06-14,601187.XSHG,19900,0.248,4935.2
2024-06-14,600017.XSHG,37600,0.052,1955.1999999999998
2024-06-18,000027.XSHE,14500,0.112,1624.0
2024-06-20,600717.XSHG,23800,0.0816,1942.0800000000002
2024-06-25,600350.XSHG,12600,0.336,4233.6
2024-06-27,601229.XSHG,15500,0.368,5704.0
2024-06-27,600033.XSHG,31400,0.096,3014.4
2024-06-28,601077.XSHG,22700,0.2308,5239.16
2024-06-28,601816.XSHG,20800,0.08928,1857.024
2024-07-05,600908.XSHG,20700,0.16,3312.0
2024-07-05,600795.XSHG,18900,0.056,1058.4
2024-07-10,601169.XSHG,19100,0.256,4889.6
2024-07-11,600011.XSHG,11700,0.16,1872.0
2024-07-12,601939.XSHG,14900,0.32,4768.0
2024-07-15,000429.XSHE,10800,0.4376,4726.08
2024-07-16,601398.XSHG,19200,0.24512,4706.304
2024-07-17,601326.XSHG,34900,0.0664,2317.36
2024-07-18,600000.XSHG,13400,0.2568,3441.1199999999994
2024-07-26,600377.XSHG,8700,0.376,3271.2
2024-08-08,000883.XSHE,18600,0.072,1339.1999999999998
2024-08-23,601991.XSHG,36500,0.006,219.0
2024-10-21,000905.XSHE,18900,0.0424,801.36
2024-10-25,600681.XSHG,33800,0.072,2433.6
2024-10-31,600795.XSHG,22800,0.072,1641.6
2024-12-20,600033.XSHG,33400,0.04,1336.0
2025-01-22,601818.XSHG,33000,0.0832,2745.6
2025-04-25,601988.XSHG,22800,0.09728,2217.984
2025-04-30,002807.XSHE,28100,0.16,4496.0
2025-05-09,601008.XSHG,33000,0.048,1584.0
2025-05-14,000828.XSHE,12400,0.26,3224.0
2025-05-16,601018.XSHG,34500,0.0864,2980.8
2025-05-29,000900.XSHE,30500,0.12,3660.0
2025-06-04,000791.XSHE,18800,0.144,2707.2
2025-06-05,002966.XSHE,15800,0.16,2528.0
2025-06-06,601997.XSHG,21200,0.232,4918.400000000001
2025-06-13,600017.XSHG,41500,0.0688,2855.2
2025-06-16,000905.XSHE,16000,0.044,704.0
2025-06-19,600717.XSHG,26900,0.0832,2238.08
2025-06-25,000543.XSHE,16600,0.2552,4236.32
2025-06-27,601825.XSHG,14700,0.1544,2269.6800000000003
2025-06-27,002039.XSHE,8100,0.048,388.8
2025-06-27,600098.XSHG,19700,0.216,4255.2
2025-06-27,600035.XSHG,28500,0.136,3876.0000000000005
2025-07-04,600908.XSHG,21200,0.176,3731.2
2025-07-10,600011.XSHG,18400,0.216,3974.4
2025-07-10,600795.XSHG,27400,0.088,2411.2
2025-07-11,600033.XSHG,38400,0.04,1536.0
2025-07-14,601398.XSHG,17800,0.13168,2343.904
2025-07-14,600027.XSHG,24500,0.104,2548.0
2025-07-14,000429.XSHE,10300,0.4184,4309.5199999999995
2025-07-15,600020.XSHG,27800,0.136,3780.8
2025-07-17,600018.XSHG,23500,0.116,2726.0
2025-07-18,601326.XSHG,41700,0.068,2835.6000000000004
2025-07-30,600377.XSHG,8900,0.392,3488.8
2025-08-05,600350.XSHG,13000,0.336,4368.0
2025-08-08,601228.XSHG,41400,0.0312,1291.6799999999998
2025-08-15,601333.XSHG,46700,0.056,2615.2000000000003
2025-08-22,601991.XSHG,40800,0.04968,2026.9440000000002
2025-10-15,000001.XSHE,12200,0.1888,2303.36
2025-10-15,002839.XSHE,32200,0.08,2576.0
2025-10-16,600803.XSHG,7400,0.144,1065.6
2025-10-24,601018.XSHG,37700,0.024,904.8000000000001
2025-10-29,600795.XSHG,27200,0.08,2176.0
2025-10-29,603689.XSHG,16200,0.04,648.0
2025-10-31,600017.XSHG,45000,0.0264,1188.0
2025-11-12,600027.XSHG,26900,0.072,1936.8
2025-11-25,600908.XSHG,23700,0.088,2085.6
2025-12-03,002807.XSHE,31300,0.08,2504.0
2025-12-15,601398.XSHG,19000,0.11312,2149.2799999999997
2025-12-31,600033.XSHG,40800,0.04,1632.0
2026-01-13,600018.XSHG,25900,0.04,1036.0
2026-02-05,601860.XSHG,50900,0.04,2036.0
2026-05-12,601528.XSHG,26700,0.168,4485.6
2026-05-19,000828.XSHE,14300,0.26,3718.0
2026-05-29,002039.XSHE,7600,0.312,2371.2
